Time,Ax,Ay,Az,Gx,Gy,Gz,BAR,P,R,UP,DOWN,prob
1671463470588,-9.1753,-2.2657,2.2537,-1.7500,-0.0700,1.4000,1.0000,0.0000,0.0000,0,0,0
1671463470699,-9.0580,-2.2944,2.1747,-1.0500,-1.0500,1.0500,1.0000,0.0000,0.0000,0,0,0
1671463470813,-9.0915,-2.2777,2.1244,-1.7500,-0.2800,1.1900,1.0000,0.0000,0.0000,0,0,0
1671463470924,-9.1633,-2.3280,2.1052,0.1400,0.2800,1.1900,1.0000,0.0000,0.0000,0,0,0
1671463471036,-9.0795,-2.2298,2.2154,0.9100,0.7000,-0.1400,1.0000,0.0000,0.0000,0,0,0
1671463471149,-9.0675,-2.2393,2.1747,0.2800,0.0700,0.3500,1.0000,0.0000,0.0000,0,0,0
1671463471261,-9.0939,-2.2848,2.2489,0.0000,-1.6800,-0.5600,1.0000,0.0000,0.0000,0,0,0
1671463471373,-9.1370,-2.2777,2.2633,-1.0500,-1.7500,-0.4900,1.0000,0.0000,0.0000,0,0,0
1671463471485,-9.1801,-2.1867,2.0669,-2.3100,-1.6800,-0.7000,1.0000,0.0000,0.0000,0,0,0
1671463471598,-9.1562,-2.1507,2.0765,-1.6800,-0.9100,-1.4000,1.0000,0.0000,0.0000,0,0,0
1671463471709,-9.1562,-2.2441,2.1004,-2.8700,-0.0700,0.2800,1.0000,0.0000,0.0000,0,0,0
1671463471822,-9.0196,-2.2681,2.1962,-0.6300,2.2400,1.6100,1.0000,0.0000,0.0000,0,0,0
1671463471933,-9.1753,-2.2441,2.2346,2.7300,3.9200,3.5700,1.0000,0.0000,0.0000,0,0,0
1671463472045,-9.1681,-2.1819,2.1867,0.6300,3.2900,3.3600,1.0000,0.0000,0.0000,0,0,0
1671463472156,-9.0987,-2.1531,2.1699,-4.1300,2.0300,3.3600,1.0001,0.0000,0.0000,0,0,0
1671463472269,-9.1011,-2.2393,2.1795,-4.2700,1.3300,4.1300,1.0000,0.0000,0.0000,0,0,0
1671463472380,-9.1418,-2.1938,2.0501,-1.7500,3.0800,3.2900,1.0000,0.0000,0.0000,0,0,0
1671463472492,-9.1083,-2.2753,2.2561,1.8200,3.9200,4.9000,1.0000,0.0000,0.0000,0,0,0
1671463472599,-9.0005,-2.1435,2.1723,2.5200,2.1000,1.8900,1.0000,0.0000,0.0000,0,0,0
1671463472710,-9.4268,-2.5770,1.9064,3.0800,-0.2100,2.9400,1.0000,0.0000,0.0000,0,0,0
1671463472821,-9.6040,-2.4741,1.6430,2.5200,-3.4300,6.5100,1.0000,0.0000,0.0000,0,0,0
1671463472933,-8.7969,-2.4405,1.6214,-1.5400,-2.4500,3.9200,1.0000,0.0000,0.0000,0,0,0
1671463473044,-8.8927,-2.3591,1.4298,-5.4600,-3.8500,13.0200,1.0000,0.0000,0.0000,0,0,0
1671463473156,-8.6819,-2.5172,1.8657,-17.6400,-6.1600,8.9600,1.0000,0.0000,0.0000,0,0,0
1671463473268,-6.6414,-1.9160,1.6095,-32.6200,-11.7600,12.6000,1.0000,0.0000,0.0000,0,0,0
1671463473381,-6.0594,-1.1400,2.5507,-43.9600,2.3800,27.3700,1.0000,0.0000,0.0000,0,0,0
1671463473492,-9.6256,0.1533,3.1039,-37.1700,-2.4500,10.2200,1.0000,0.0000,0.0000,0,0,0
1671463473603,-9.7956,1.1017,2.1747,-9.4500,2.3800,-0.7000,1.0000,0.0000,0.0000,0,0,0
1671463473715,-10.0735,1.2382,1.6741,-3.7100,-2.1000,5.7400,1.0000,0.0000,0.0000,0,0,0
1671463473826,-10.8231,0.8886,1.7627,-30.6600,4.7600,2.8000,1.0000,0.0000,0.0000,0,0,0
1671463473937,-11.9080,-0.5125,2.3327,-19.6000,4.9700,7.2100,1.0000,0.0000,0.0000,0,0,0
1671463474048,-10.6914,-0.8502,2.6848,13.7900,4.9700,6.0200,1.0000,0.0000,0.0000,0,0,0
1671463474160,-10.2962,-0.7353,2.2992,22.9600,-3.1500,-2.5900,1.0000,0.0000,0.0000,0,0,0
1671463474272,-11.0458,-0.8646,2.1196,11.8300,-8.1200,-15.6100,1.0000,0.0000,0.0000,0,1,0
1671463474383,-11.7619,-0.5245,2.3902,3.7100,-8.9600,-35.2800,1.0000,0.0000,0.0000,0,0,0
1671463474495,-11.1919,-0.5964,2.4429,4.8300,-8.8200,-39.7600,1.0000,0.0000,0.0000,0,0,0
1671463474607,-10.6051,-1.1185,2.3280,3.0800,-3.4300,-45.5700,1.0000,0.0000,0.0000,0,0,0
1671463474718,-9.2855,-1.9807,2.4166,28.9100,12.8800,-40.6000,1.0000,0.0000,0.0000,0,0,0
1671463474830,-5.8534,-2.2633,1.8945,28.2800,9.8000,-7.0700,1.0000,0.0000,0.0000,0,0,0
1671463474941,-5.2068,-2.6058,1.7316,27.3000,9.7300,-7.0700,1.0000,0.0000,0.0000,0,0,0
1671463475052,-8.9310,-4.3134,1.5616,13.8600,15.2600,41.7900,1.0000,0.0000,0.0000,0,0,0
1671463475163,-8.6149,-3.0273,1.9256,-21.6300,6.3700,37.8000,1.0000,0.0000,0.0000,0,0,0
1671463475277,-7.5922,-3.0776,1.5999,-21.0700,3.0800,30.5200,1.0000,0.0000,0.0000,0,0,0
1671463475391,-10.0256,-3.1423,1.7508,-27.4400,-8.0500,7.8400,1.0000,0.0000,0.0000,0,0,0
1671463475507,-8.9837,-3.0465,2.3447,-17.2900,4.8300,-4.6900,1.0000,0.0000,0.0000,0,0,0
1671463475616,-8.8113,-2.5794,2.4046,12.1800,1.4000,-23.1700,1.0000,0.0000,0.0000,0,0,0
1671463475725,-9.3885,-2.6106,2.3854,12.6000,-3.1500,-21.4200,1.0000,0.0000,0.0000,1,0,0
