Time,Ax,Ay,Az,Gx,Gy,Gz,BAR,P,R,UP,DOWN,prob
1671463801565,-8.3419,-1.4059,4.6607,0.1400,2.0300,-1.0500,1.0000,0.0000,0.0000,0,0,0
1671463801677,-8.2892,-1.4945,4.8308,-1.6800,1.6800,-0.8400,1.0000,0.0000,0.0000,0,0,0
1671463801787,-8.3514,-1.4801,4.5386,-0.7700,5.7400,-1.8200,1.0000,0.0000,0.0000,0,0,0
1671463801899,-8.4017,-1.4346,4.6439,4.7600,-0.9100,-0.7700,1.0000,0.0000,0.0000,0,0,0
1671463802011,-8.4089,-1.3556,4.5122,1.8900,0.2100,-0.0700,1.0000,0.0000,0.0000,0,0,0
1671463802123,-8.3826,-1.4801,4.5529,-0.5600,0.2800,-0.0700,1.0000,0.0000,0.0000,0,0,0
1671463802235,-8.4664,-1.3771,4.5745,2.1700,0.6300,-1.8200,1.0001,0.0000,0.0000,0,0,0
1671463802348,-8.3993,-1.4681,4.5170,4.4800,3.2900,6.5100,1.0000,0.0000,0.0000,0,0,0
1671463802460,-8.2508,-1.5256,4.5649,15.4000,11.4800,5.7400,1.0001,0.0000,0.0000,0,0,0
1671463802571,-8.6101,-0.6922,4.1554,7.0000,1.8900,-7.9100,1.0001,0.0000,0.0000,0,0,0
1671463802683,-8.4520,-1.0275,4.3685,-0.0700,1.7500,-11.4800,1.0001,0.0000,0.0000,0,0,0
1671463802794,-8.6939,-1.8466,4.2488,4.8300,-2.4500,-4.0600,1.0001,0.0000,0.0000,0,0,0
1671463802906,-8.4472,-1.4705,4.4571,6.5800,-8.3300,2.5900,1.0001,0.0000,0.0000,0,0,0
1671463803018,-8.3634,-1.2239,4.7062,2.3800,-11.2000,10.4300,1.0001,0.0000,0.0000,0,0,0
1671463803132,-8.3179,-0.7544,4.8547,21.5600,4.0600,9.9400,1.0001,0.0000,0.0000,0,0,0
1671463803244,-8.4496,-0.7808,4.7541,35.7000,21.7000,3.1500,1.0001,0.0000,0.0000,0,0,0
1671463803356,-8.7754,0.2084,3.7865,40.6700,27.5800,14.7000,1.0002,0.0000,0.0000,0,0,0
1671463803468,-8.8185,0.0024,4.1649,-14.7000,-4.2700,2.5900,1.0002,0.0000,0.0000,0,0,0
1671463803580,-8.7658,0.1174,4.0883,-20.7200,-5.8800,-3.3600,1.0002,0.0000,0.0000,0,0,0
1671463803692,-8.5095,0.0120,4.4140,-21.2100,-4.9000,0.0000,1.0001,0.0000,0.0000,0,0,0
1671463803804,-8.8328,0.1198,3.8895,-3.5700,-1.4000,-10.8500,1.0002,0.0000,0.0000,0,0,0
1671463803916,-8.6293,-0.6083,4.3470,-23.8700,-19.9500,-4.8300,1.0002,0.0000,0.0000,0,0,0
1671463804026,-8.5119,-1.2813,4.7661,1.9600,-4.5500,-6.6500,1.0002,0.0000,0.0000,0,0,0
1671463804138,-8.3442,-0.9149,4.7206,3.9900,0.3500,2.2400,1.0001,0.0000,0.0000,0,0,0
1671463804250,-8.5598,-0.7065,4.1841,14.1400,7.2800,3.5700,1.0001,0.0000,0.0000,1,0,0
1671463804362,-8.6317,-0.6227,4.3015,-6.3700,3.0100,0.0700,1.0001,0.0000,0.0000,0,0,0
1671463804474,-8.6867,-0.4838,4.1075,-7.4900,4.7600,-12.9500,1.0001,0.0000,0.0000,0,0,0
1671463804586,-8.7418,-0.8670,3.9206,-7.2800,1.1200,-13.5100,1.0001,0.0000,0.0000,0,0,0
1671463804698,-8.7754,-1.4634,3.9757,-10.4300,1.4000,-18.6900,1.0001,0.0000,0.0000,0,0,0
1671463804809,-8.5622,-2.3830,3.9757,-10.5700,-4.2700,-23.3800,1.0001,0.0000,0.0000,0,0,0
1671463804921,-8.4808,-2.4381,3.9111,-21.7000,-5.6700,-22.4700,1.0001,0.0000,0.0000,0,0,0
1671463805033,-8.3442,-3.1518,4.1027,-8.4700,8.3300,-14.2800,1.0001,0.0000,0.0000,0,0,0
1671463805144,-8.5742,-2.5818,3.9518,-2.2400,2.1700,-15.7500,1.0001,0.0000,0.0000,0,0,0
1671463805256,-8.2413,-3.9470,3.9398,8.6100,7.1400,-8.7500,1.0001,0.0000,0.0000,0,0,0
1671463805368,-8.4089,-3.5829,3.4704,0.1400,-10.7100,13.9300,1.0001,0.0000,0.0000,0,0,0
1671463805481,-8.1239,-2.8549,4.3925,8.8900,6.3000,14.4900,1.0001,0.0000,0.0000,0,0,0
1671463805592,-8.6652,-2.8644,3.4009,7.3500,48.5800,4.6200,1.0001,0.0000,0.0000,0,0,0
1671463805704,-9.0556,-2.7375,2.3280,-5.3200,29.8200,5.7400,1.0001,0.0000,0.0000,0,0,0
1671463805815,-9.0149,-2.4908,2.5028,-5.3200,-6.7900,13.7900,1.0001,0.0000,0.0000,0,0,0
1671463805930,-8.9550,-2.2178,2.7950,-2.1000,-9.0300,7.8400,1.0001,0.0000,0.0000,0,0,0
1671463806041,-8.9693,-2.0501,2.7902,2.5900,0.7700,3.7100,1.0001,0.0000,0.0000,0,0,0
1671463806152,-9.0771,-2.1579,2.7399,-4.3400,0.2800,3.4300,1.0001,0.0000,0.0000,0,1,0
1671463806265,-8.9813,-1.9974,2.9698,-1.4700,-5.1800,3.2200,1.0001,0.0000,0.0000,0,0,0
1671463806376,-8.9861,-1.9831,2.9195,0.9100,-4.2000,2.0300,1.0001,0.0000,0.0000,0,0,0
1671463806488,-8.9837,-2.0094,3.1016,4.2700,-0.5600,1.9600,1.0001,0.0000,0.0000,0,0,0
1671463806603,-8.7131,-1.7076,3.1734,4.6200,2.8700,0.0700,1.0001,0.0000,0.0000,0,0,0
1671463806715,-9.0484,-1.7292,2.5842,-0.7700,8.7500,-21.1400,1.0001,0.0000,0.0000,0,0,0
1671463806828,-9.0220,-3.0465,2.4621,-8.4700,-3.6400,-42.1400,1.0001,0.0000,0.0000,0,0,0
1671463806938,-8.5790,-3.5159,3.1782,-11.0600,-9.8700,-11.9000,1.0001,0.0000,0.0000,0,0,0
1671463807046,-8.6628,-3.6452,2.8453,1.2600,7.4900,8.0500,1.0001,0.0000,0.0000,0,0,0
1671463807158,-8.8400,-2.9650,2.4812,9.5900,8.6800,22.8900,1.0001,0.0000,0.0000,0,0,0
1671463807270,-9.0029,-2.3399,2.4549,3.1500,-14.8400,35.4200,1.0001,0.0000,0.0000,0,0,0
1671463807382,-8.7993,-1.6382,3.4824,3.5700,-16.5900,48.3000,1.0001,0.0000,0.0000,0,0,0
1671463807493,-8.9023,-0.8598,3.1997,-4.2700,-7.6300,24.2200,1.0001,0.0000,0.0000,0,0,0
1671463807605,-9.0508,-1.3580,3.3890,-0.1400,-18.0600,-5.7400,1.0001,0.0000,0.0000,0,0,0
1671463807717,-8.7514,-1.3532,3.8584,-2.6600,-26.3900,-20.5800,1.0000,0.0000,0.0000,0,0,0
1671463807828,-8.4856,-1.7196,4.1985,-7.7000,-19.2500,-2.1000,1.0000,0.0000,0.0000,0,0,0
1671463807940,-8.5382,-1.7340,4.3470,3.9200,-9.9400,-0.0700,1.0000,0.0000,0.0000,0,0,0
