Time,Ax,Ay,Az,Gx,Gy,Gz,BAR,P,R,UP,DOWN,prob
1671463298681,9.8938,-0.2539,2.9626,-6.8600,4.6200,-2.5200,1.0000,0.0000,0.0000,0,0,0
1671463298792,9.9681,-0.0096,2.7112,5.6700,-0.2100,-3.6400,1.0000,0.0000,0.0000,0,0,0
1671463298905,9.7789,-0.0407,2.5579,0.6300,-0.7700,-0.6300,1.0000,0.0000,0.0000,0,0,0
1671463299017,9.9968,0.0383,2.8070,-2.2400,3.9200,-1.1200,1.0000,0.0000,0.0000,0,0,0
1671463299129,9.8723,0.0982,2.8213,0.9100,0.8400,-1.8900,1.0000,0.0000,0.0000,0,0,0
1671463299250,9.7693,0.1150,2.8716,-1.6800,-2.3100,-2.4500,1.0000,0.0000,0.0000,0,0,0
1671463299362,9.8387,0.3616,2.6752,-5.8800,-1.9600,-0.0700,1.0000,0.0000,0.0000,0,0,0
1671463299474,9.7381,0.1341,2.9099,-0.9800,-3.0100,3.3600,1.0000,0.0000,0.0000,0,0,0
1671463299586,9.5322,-0.0790,2.8189,-0.5600,-3.8500,4.9000,1.0001,0.0000,0.0000,0,0,0
1671463299699,10.1405,-0.0407,2.4693,-5.1100,-0.2800,8.5400,1.0001,0.0000,0.0000,0,0,0
1671463299812,10.1693,-0.1844,2.7231,6.2300,-0.4200,0.9100,1.0001,0.0000,0.0000,0,0,0
1671463299923,9.7597,-0.1772,2.4046,-4.0600,-3.2200,0.1400,1.0001,0.0000,0.0000,0,0,0
1671463300038,9.7765,-0.2323,2.5435,-3.0800,-2.4500,1.6100,1.0001,0.0000,0.0000,0,0,0
1671463300150,10.0208,-0.1533,2.4908,1.9600,4.4800,1.1200,1.0001,0.0000,0.0000,0,0,0
1671463300261,10.0854,-0.2084,2.8453,-2.9400,1.7500,0.5600,1.0000,0.0000,0.0000,0,0,0
1671463300376,9.8004,-0.2635,2.7950,1.9600,0.2100,-1.6100,1.0000,0.0000,0.0000,0,0,0
1671463300490,9.7597,-0.0527,2.5627,-0.0700,-0.2800,-1.0500,1.0001,0.0000,0.0000,0,0,0
1671463300603,9.9250,-0.1269,2.6130,-2.3800,0.4200,2.5900,1.0001,0.0000,0.0000,0,0,0
1671463300715,9.9561,-0.2060,2.7351,-0.2800,1.0500,1.9600,1.0001,0.0000,0.0000,0,0,0
1671463300826,9.9369,-0.2179,2.6465,-1.7500,-0.9100,0.1400,1.0001,0.0000,0.0000,0,0,0
1671463300938,9.8986,-0.2443,2.6609,-1.5400,-0.7000,-1.1900,1.0001,0.0000,0.0000,0,0,0
1671463301049,9.8100,-0.1461,2.7064,0.3500,0.1400,-3.4300,1.0001,0.0000,0.0000,0,0,0
1671463301161,9.7932,-0.0096,2.6728,-0.4200,-2.2400,-0.6300,1.0001,0.0000,0.0000,0,0,0
1671463301274,9.8411,-0.0886,2.6154,-4.4800,-0.9800,1.8900,1.0001,0.0000,0.0000,0,0,0
1671463301387,9.8962,-0.3114,2.7303,0.2800,0.9800,3.3600,1.0001,0.0000,0.0000,0,0,0
1671463301500,9.9537,-0.3545,2.6345,-0.2800,0.0700,0.9800,1.0001,0.0000,0.0000,0,0,0
1671463301614,9.9345,-0.3521,2.6992,-0.9800,-1.8900,-1.4700,1.0001,0.0000,0.0000,0,0,0
1671463301727,9.8795,-0.2179,2.4597,1.5400,0.0000,-1.5400,1.0001,0.0000,0.0000,0,0,0
1671463301838,9.8938,-0.1293,2.5507,-2.5200,1.1900,0.5600,1.0000,0.0000,0.0000,0,1,0
1671463301950,9.8531,-0.2994,2.4717,-0.3500,-0.6300,1.3300,1.0000,0.0000,0.0000,0,0,0
1671463302063,9.8244,-0.2994,2.7710,0.9800,0.7700,-1.2600,1.0000,0.0000,0.0000,0,0,0
1671463302175,10.1669,-0.0695,2.5244,-2.3100,2.8700,0.2100,1.0001,0.0000,0.0000,0,0,0
1671463302287,12.4349,0.8502,3.0656,-4.6900,-0.4200,-17.5000,1.0001,0.0000,0.0000,0,0,0
1671463302398,12.7750,0.3904,3.5159,25.9700,-21.7700,-44.2400,1.0000,0.0000,0.0000,0,0,0
1671463302511,12.5188,0.8191,1.5711,28.4900,-29.8900,-62.3700,1.0000,0.0000,0.0000,0,0,0
1671463302623,10.7848,1.8226,1.6717,-5.0400,-20.3700,-37.8000,1.0000,0.0000,0.0000,0,0,0
1671463302734,8.7634,2.2298,1.2023,-13.4400,-12.7400,-0.5600,1.0000,0.0000,0.0000,0,0,0
1671463302846,7.4485,0.2658,2.2298,-2.0300,-5.5300,25.4800,1.0000,0.0000,0.0000,0,0,0
1671463302959,6.7108,1.4514,1.8130,7.5600,-3.0800,20.5800,1.0000,0.0000,0.0000,0,0,0
1671463303071,8.5622,2.9842,1.0969,14.4200,-2.0300,-7.2100,1.0000,0.0000,0.0000,0,0,0
1671463303183,7.9778,4.8619,0.3401,7.7000,-16.5200,-1.4000,1.0000,0.0000,0.0000,0,0,0
1671463303296,8.8328,3.4560,-0.3114,-8.5400,-7.9800,14.4900,1.0000,0.0000,0.0000,0,0,0
1671463303408,9.8483,2.0837,-0.7233,7.9100,-3.6400,8.3300,1.0000,0.0000,0.0000,1,0,0
1671463303519,9.4603,2.3950,-0.3808,12.5300,9.5200,-3.0800,1.0000,0.0000,0.0000,0,0,0
1671463303631,8.3395,2.2801,0.2036,6.0200,8.3300,-19.2500,1.0000,0.0000,0.0000,0,0,0
1671463303742,8.4760,2.7016,0.3449,28.2800,5.6700,-37.1700,0.9999,0.0000,0.0000,0,0,0
1671463303854,8.9765,3.4369,0.7808,21.6300,-2.1700,-33.6700,0.9999,0.0000,0.0000,0,0,0
1671463303966,9.6400,3.4201,-0.3425,-23.5900,3.6400,-20.6500,0.9999,0.0000,0.0000,0,0,0
1671463304079,8.4041,3.1327,0.9915,-21.9800,11.4800,-9.7300,0.9999,0.0000,0.0000,0,0,0
1671463304191,9.9202,4.2775,1.4634,-3.1500,14.4900,7.0700,0.9999,0.0000,0.0000,0,0,0
1671463304303,9.7980,3.9709,1.6430,-8.7500,13.4400,12.0400,0.9999,0.0000,0.0000,0,0,0
1671463304416,9.6998,3.6788,1.5065,-27.7200,20.6500,25.2000,0.9999,0.0000,0.0000,0,0,0
1671463304527,10.4303,3.0608,2.0573,-19.1800,25.4800,47.1100,1.0000,0.0000,0.0000,0,0,0
1671463304640,10.7201,1.4394,3.2764,-6.7200,35.4200,29.8200,1.0000,0.0000,0.0000,0,0,0
1671463304751,10.2435,1.5975,3.5231,-6.5800,16.0300,16.8000,1.0000,0.0000,0.0000,0,1,0
1671463304862,9.7358,1.3652,3.4057,-27.6500,2.2400,23.1700,1.0000,0.0000,0.0000,0,0,0
1671463304975,9.3334,0.1437,4.0093,-17.2900,0.9800,33.1100,1.0001,0.0000,0.0000,0,0,0
1671463305087,10.3944,0.0862,3.9542,-3.2900,13.0900,27.0900,1.0001,0.0000,0.0000,0,0,0
1671463305198,11.5296,0.0479,4.6368,7.7000,3.5700,-3.9200,1.0001,0.0000,0.0000,0,0,0
1671463305309,12.1092,0.9987,4.7805,14.7000,-21.0700,-33.8800,1.0001,0.0000,0.0000,0,0,0
1671463305420,12.1236,1.8633,4.0859,17.6400,-35.4200,-58.9400,1.0001,0.0000,0.0000,0,0,0
1671463305532,11.9009,2.5507,3.0752,32.1300,-46.1300,-72.3800,1.0001,0.0000,0.0000,0,0,0
1671463305640,10.6626,2.2106,2.9195,6.0900,-50.4000,-44.6600,1.0001,0.0000,0.0000,0,0,0
1671463305754,8.2844,-0.1269,3.9470,-20.5100,-20.9300,-7.3500,1.0001,0.0000,0.0000,0,0,0
1671463305865,8.0113,0.9963,3.4033,8.9600,1.4700,20.5800,1.0001,0.0000,0.0000,0,0,0
1671463305976,5.6594,1.4586,2.5746,16.7300,29.4000,45.6400,1.0000,0.0000,0.0000,0,0,0
1671463306088,6.4282,4.2775,0.8335,40.6000,-17.3600,4.2000,1.0000,0.0000,0.0000,0,0,0
1671463306200,9.2472,5.5469,-1.0179,-15.6800,-12.1800,-15.0500,1.0000,0.0000,0.0000,0,0,0
1671463306317,8.6915,4.6248,-0.6011,-42.4900,0.5600,9.1700,1.0000,0.0000,0.0000,1,0,0
1671463306427,8.4832,3.9590,0.0168,28.2800,1.0500,-23.5900,1.0000,0.0000,0.0000,0,0,0
1671463306539,8.3395,4.6344,-0.5532,31.2200,-2.8000,-25.1300,1.0000,0.0000,0.0000,0,0,0
1671463306651,7.6090,3.3387,0.4742,-15.2600,-18.7600,-31.5000,0.9999,0.0000,0.0000,0,0,0
1671463306763,8.2173,5.2164,-0.5988,-13.3700,-9.1000,-39.9000,0.9999,0.0000,0.0000,0,0,0
1671463306875,7.2761,4.3685,0.2922,-21.2100,11.3400,-13.1600,0.9999,0.0000,0.0000,0,0,0
1671463306987,8.5335,5.8894,0.7257,-16.3800,5.8800,-2.9400,0.9999,0.0000,0.0000,0,0,0
1671463307099,9.8914,5.2499,1.6406,-18.2000,20.5100,13.6500,0.9999,0.0000,0.0000,0,0,0
1671463307210,10.0782,3.5662,2.5866,-8.0500,32.9700,43.1200,0.9999,0.0000,0.0000,0,0,0
1671463307321,10.7704,3.3650,3.0513,-17.3600,48.3000,62.9300,0.9999,0.0000,0.0000,0,0,0
1671463307433,10.7656,1.7963,3.0560,-7.2100,35.5600,60.6900,0.9999,0.0000,0.0000,0,0,0
