Time,Ax,Ay,Az,Gx,Gy,Gz,BAR,P,R,UP,DOWN,prob
1671462680372,9.1154,1.6861,4.4428,0.2100,2.1700,-0.6300,1.0000,0.0000,0.0000,0,0,0
1671462680502,9.0436,1.6693,4.3541,1.4700,2.5900,-0.2800,1.0000,0.0000,0.0000,0,0,0
1671462680633,9.0125,1.6837,4.3062,0.5600,-2.1700,0.9800,1.0000,0.0000,0.0000,0,0,0
1671462680761,9.0292,1.7364,4.3398,-3.3600,-0.3500,0.9800,1.0000,0.0000,0.0000,0,0,0
1671462680897,9.0891,1.6358,4.4547,3.7800,-3.0100,0.7700,1.0000,0.0000,0.0000,0,0,0
1671462681026,9.0963,1.6310,4.1817,0.9800,1.3300,-0.4200,1.0000,0.0000,0.0000,0,0,0
1671462681153,9.0939,1.7555,4.3518,0.0700,1.8900,0.4900,1.0000,0.0000,0.0000,0,0,0
1671462681278,9.0053,1.6238,4.7829,-0.3500,-0.8400,0.6300,1.0000,0.0000,0.0000,0,0,0
1671462681401,9.1083,1.6550,4.3805,0.6300,-0.0700,0.4200,1.0000,0.0000,0.0000,0,0,0
1671462681528,9.0580,1.6574,4.3326,0.2800,0.3500,0.2100,1.0000,0.0000,0.0000,0,0,0
1671462681653,9.0628,1.6214,4.3733,-0.6300,-2.5200,1.1200,1.0000,0.0000,0.0000,0,0,0
1671462681778,9.1466,1.6142,4.3398,0.0700,-1.0500,-0.0700,1.0000,0.0000,0.0000,0,0,0
1671462681902,9.1226,1.6526,4.3158,0.2100,-0.1400,-0.4900,1.0000,0.0000,0.0000,0,0,0
1671462682025,9.1274,1.6190,4.2967,0.2100,-1.8900,0.7000,1.0000,0.0000,0.0000,0,0,0
1671462682148,9.1322,1.5903,4.2991,0.1400,-3.5700,1.4000,1.0000,0.0000,0.0000,0,0,0
1671462682270,9.1921,1.6310,4.2320,0.4900,-1.0500,1.1900,1.0000,0.0000,0.0000,0,0,0
1671462682392,9.1107,1.6071,4.1458,0.1400,-1.1900,-0.1400,1.0000,0.0000,0.0000,0,0,0
1671462682513,9.2112,1.6023,4.1338,-0.3500,-2.8000,0.9800,1.0000,0.0000,0.0000,0,0,0
1671462682637,9.1969,1.5711,4.0931,0.6300,-4.4800,1.1900,1.0000,0.0000,0.0000,0,0,0
1671462682758,9.2496,1.5999,4.0141,0.2800,-2.2400,1.1900,1.0000,0.0000,0.0000,0,0,0
1671462682875,9.2831,1.5807,4.0164,-0.0700,-1.6100,0.4200,1.0000,0.0000,0.0000,0,0,0
1671462682991,9.1753,1.5544,4.1913,-0.8400,-0.7700,0.8400,1.0000,0.0000,0.0000,1,0,0
1671462683109,9.4316,1.8322,4.1314,-5.8100,1.0500,-0.0700,1.0000,0.0000,0.0000,0,0,0
1671462683225,9.2687,1.5089,3.7123,15.6800,2.3800,1.8200,1.0000,0.0000,0.0000,0,0,0
1671462683341,9.2472,1.5160,4.1266,-2.4500,12.1800,-10.0100,1.0000,0.0000,0.0000,0,0,0
1671462683457,9.8675,1.5304,4.5697,0.1400,-8.3300,3.5000,1.0000,0.0000,0.0000,0,0,0
1671462683570,8.4185,1.9687,3.6835,0.8400,11.6900,1.9600,1.0001,0.0000,0.0000,0,0,0
1671462683684,7.5347,1.3005,3.4871,-7.7000,2.3100,3.9900,1.0001,0.0000,0.0000,0,0,0
1671462683799,7.7455,1.2406,3.8296,-7.6300,-5.7400,-7.0700,1.0001,0.0000,0.0000,0,0,0
1671462683915,8.1598,1.4035,3.9949,-4.7600,4.5500,-4.9000,1.0000,0.0000,0.0000,0,0,0
1671462684031,8.4856,1.6358,4.1673,-1.1200,2.1700,-0.9800,1.0000,0.0000,0.0000,0,0,0
1671462684145,9.8172,1.9064,4.5434,-1.1200,-5.8800,-0.7700,1.0000,0.0000,0.0000,0,0,0
1671462684258,9.7645,1.8226,4.6344,-1.3300,1.4000,-2.3800,1.0000,0.0000,0.0000,0,0,0
1671462684372,9.6998,1.8825,4.5625,-2.3800,-3.9900,0.5600,1.0000,0.0000,0.0000,0,0,0
1671462684486,9.2496,1.8250,4.4260,0.2800,-7.9800,-0.1400,1.0000,0.0000,0.0000,0,0,0
1671462684600,9.6711,1.7603,4.3062,1.3300,-6.2300,0.4900,1.0000,0.0000,0.0000,0,0,0
1671462684713,9.2496,1.8657,4.2200,0.2800,-3.7100,2.1700,1.0000,0.0000,0.0000,0,0,0
1671462684826,9.6519,1.8154,4.1937,-0.2100,-3.9900,2.4500,1.0000,0.0000,0.0000,0,0,0
1671462684941,9.6160,1.7340,4.0739,0.5600,-4.0600,1.6100,1.0000,0.0000,0.0000,0,0,0
