Time;Ax;Ay;Az;Gx;Gy;Gz;BAR;P;R;Mag;UP;DOWN
0;9.51781;3.37219;1.75315;3.01;-0.56;-1.33;994.5625;0;0;0;0;0
1;9.42919;3.47517;1.64538;-2.24;-2.8;1.89;994.5979;0;0;0;0;0
2;9.42201;3.3674;1.54239;2.03;-1.61;0.35;994.59814;0;0;0;0;0
3;9.52739;3.38177;1.55916;0.14;1.05;0.91;994.57397;0;0;0;0;0
4;9.43638;3.32189;1.55197;1.26;1.54;1.12;994.57324;0;0;0;0;0
5;9.5705;3.23807;1.56634;-4.13;2.1;1.68;994.5603;0;0;0;0;0
6;9.51302;3.23328;1.70765;1.05;2.8;0.49;994.54321;0;0;0;0;0
7;9.58726;3.26202;1.67651;-0.63;1.12;-0.77;994.53735;0;0;0;0;0
8;9.60163;3.32668;1.84177;-1.68;1.26;-0.77;994.52466;0;0;0;0;0
9;9.57289;3.35303;1.95673;-3.78;1.26;-6.93;994.50708;0;0;0;0;0
10;9.38848;3.33387;1.80345;-2.73;-0.56;-0.98;994.49829;0;0;0;0;0
11;9.29268;3.30273;1.89207;-3.43;-1.82;0.56;994.48755;0;0;0;0;0
12;9.47949;3.34824;1.85375;0.77;-0.56;0.21;994.49365;0;0;0;0;0
13;9.4723;3.34345;1.8274;1.05;-0.7;0.21;994.48096;0;0;0;0;0
14;9.40764;3.30752;1.72202;1.05;0.84;0.56;994.49829;0;0;0;0;0
15;9.56571;3.26202;1.78189;8.05;1.82;1.05;994.49829;0;0;0;0;0
16;9.4747;3.40811;1.73399;3.43;1.05;-2.38;994.49097;0;0;0;0;0
17;9.4268;3.34824;1.72681;1.4;2.1;-0.35;994.4873;0;0;0;0;0
18;9.49386;3.36261;1.81542;-3.15;1.19;0.28;994.48608;0;0;0;0;0
19;9.46272;3.365;1.85135;-1.26;0.63;-0.49;994.48877;0;0;0;0;0
20;9.42919;3.41051;1.86812;-4.83;-2.66;-0.77;994.49292;0;0;0;0;0
21;9.56331;3.37219;1.71962;5.11;0.56;-2.17;994.51074;0;0;0;1;0
22;9.54894;3.54702;1.82021;3.85;-2.8;-2.8;994.48828;0;0;0;0;0
23;9.26633;3.53744;1.75794;-4.9;-0.14;-6.02;994.48853;0;0;0;0;0
24;9.61361;3.85838;1.93278;-0.77;-1.47;-4.34;994.48022;0;0;0;0;0
25;9.77886;3.95418;2.06451;2.17;-5.53;-2.94;994.48193;0;0;0;0;0
26;9.03162;3.72426;1.39869;8.82;-9.31;0.42;994.46802;0;0;0;0;0
27;8.10235;3.28357;0.68498;8.33;0.42;3.5;994.4563;0;0;0;0;0
28;7.89877;3.33626;0.24429;0.49;17.28999;10.85;994.44775;0;0;0;0;0
29;5.76242;2.23455;1.07776;0.21;24.00999;13.44;994.46411;0;0;0;0;0
30;5.11097;1.30768;1.30289;0.56;22.11999;4.76;994.5083;0;0;0;0;0
31;6.93119;2.19623;1.67891;0.91;32.33999;4.48;994.52051;0;0;0;0;0
32;9.17772;2.32317;3.85598;-20.57999;39.89999;14.27999;994.53442;0;0;0;0;0
33;11.57273;2.62734;5.89414;-43.32998;27.15999;23.72999;994.54102;0;0;0;0;0
34;11.30689;3.09916;5.90851;-26.03999;14.13999;13.01999;994.56006;0;0;0;0;0
35;10.51414;1.9711;6.14802;-14.06999;6.44;4.55;994.55859;0;0;0;0;0
36;10.32493;2.14354;5.92528;-13.71999;8.12;2.66;994.57275;0;0;0;0;0
37;10.69616;1.72681;6.18394;-12.67;13.37;4.97;994.57642;0;0;0;0;0
38;10.32014;1.32924;6.69408;-1.75;12.80999;2.1;994.62134;0;0;0;0;0
39;9.55613;1.12805;6.10251;-2.87;5.81;4.83;994.60205;0;0;0;0;1
40;8.80409;1.14242;5.87259;5.6;1.89;-1.82;994.6001;0;0;0;0;0
41;9.77647;1.80345;6.28453;5.88;0.7;-4.62;994.63062;0;0;0;0;0
42;11.47214;2.3088;7.46528;0.98;-7.63;-6.37;994.65723;0;0;0;0;0
43;11.61585;2.66087;7.2114;6.37;-10.85;1.05;994.67529;0;0;0;0;0
44;10.40876;2.53872;6.72521;9.73;-19.52999;-10.43;994.68652;0;0;0;0;0
45;9.91299;2.3064;5.75044;11.2;-25.54999;-13.09;994.69336;0;0;0;0;0
46;8.3658;2.51717;4.3757;9.94;-38.07999;-15.60999;994.69775;0;0;0;0;0
47;6.28214;1.87291;2.41418;5.6;-39.26999;-17.49999;994.66528;0;0;0;0;0
48;6.44979;1.85854;2.0693;0.49;-32.61999;-15.53999;994.65234;0;0;0;0;0
49;6.43063;2.213;1.76273;0.77;-33.38999;-17.42999;994.65576;0;0;0;0;0
50;6.7803;2.49322;1.17835;-0.21;-29.39999;-9.59;994.61841;0;0;0;0;0
51;8.31551;3.72186;0.02874;5.39;-28.62999;-5.11;994.60742;0;0;0;0;0
52;9.27352;4.10267;-0.29938;-3.99;-17.70999;-4.34;994.59766;0;0;0;0;0
