Time,Ax,Ay,Az,Gx,Gy,Gz,BAR,P,R,UP,DOWN,prob
1671465686711,9.7334,1.8058,-1.8657,-1.6800,2.2400,1.8900,1.0000,0.0000,0.0000,0,0,0
1671465686825,9.7549,1.9663,-1.9663,1.5400,1.4700,-0.4900,1.0000,0.0000,0.0000,0,0,0
1671465686937,9.9082,1.8657,-1.7963,5.1100,1.4700,1.4700,1.0000,0.0000,0.0000,0,0,0
1671465687051,9.7118,2.0406,-2.1795,18.4800,-2.1700,4.1300,1.0000,0.0000,0.0000,0,0,0
1671465687162,10.1333,1.4442,-2.2920,2.8700,-3.0800,10.5700,1.0000,0.0000,0.0000,0,0,0
1671465687274,9.6950,1.7508,-2.1986,1.3300,-0.1400,9.2400,1.0000,0.0000,0.0000,0,0,0
1671465687384,9.7453,1.0778,-2.0956,3.9200,4.5500,9.9400,1.0000,0.0000,0.0000,0,0,0
1671465687496,9.9992,1.5113,-2.5100,2.5200,-1.2600,-0.1400,1.0000,0.0000,0.0000,0,0,0
1671465687612,9.9681,1.4777,-2.3926,-0.6300,2.5900,1.3300,1.0001,0.0000,0.0000,0,0,0
1671465687724,9.9609,1.7843,-2.6393,0.7000,2.1700,0.7000,1.0001,0.0000,0.0000,0,0,0
1671465687836,10.4854,1.0251,-1.3843,8.3300,10.2200,13.5800,1.0001,0.0000,0.0000,0,0,0
1671465687949,9.9944,-0.0886,-3.9087,-5.1800,31.7800,13.7900,1.0001,0.0000,0.0000,0,0,0
1671465688062,10.2603,0.4479,-2.6154,6.4400,9.3800,-1.4700,1.0002,0.0000,0.0000,0,0,0
1671465688175,10.7201,0.1198,-1.9495,8.1900,-9.1000,10.0100,1.0002,0.0000,0.0000,0,0,0
1671465688288,10.3465,-0.4982,1.1783,1.2600,-2.3800,7.6300,1.0002,0.0000,0.0000,0,0,0
1671465688399,10.1453,0.4119,-1.3244,-4.4800,-2.4500,3.9200,1.0003,0.0000,0.0000,0,0,0
