Time,Ax,Ay,Az,Gx,Gy,Gz,BAR,P,R,UP,DOWN,prob
1671462885319,-9.2639,-1.8082,1.8753,0.5600,0.5600,-0.7000,1.0000,0.0000,0.0000,0,0,0
1671462885432,-9.3214,-1.8681,2.0214,2.4500,1.8900,0.0000,1.0000,0.0000,0.0000,0,0,0
1671462885545,-9.2448,-1.9400,1.9543,1.8900,0.8400,-0.2800,1.0000,0.0000,0.0000,0,0,0
1671462885657,-9.3262,-1.7460,1.8490,1.1200,0.0000,0.8400,1.0000,0.0000,0.0000,0,0,0
1671462885769,-9.3861,-1.8298,1.8801,-1.1200,-1.4700,0.7000,1.0000,0.0000,0.0000,0,0,0
1671462885881,-9.2879,-1.8082,1.9759,-0.7000,-2.1000,-0.5600,1.0000,0.0000,0.0000,0,0,0
1671462885993,-9.2328,-1.8178,1.8777,-1.4000,-1.8900,-0.8400,1.0001,0.0000,0.0000,0,0,0
1671462886107,-9.2041,-1.7076,1.8394,-2.7300,-0.7700,-0.0700,1.0001,0.0000,0.0000,0,0,0
1671462886218,-9.2352,-1.8442,1.9567,1.2600,0.3500,0.2800,1.0001,0.0000,0.0000,0,0,0
1671462886329,-9.3645,-1.7987,1.9304,-1.0500,2.2400,0.7000,1.0000,0.0000,0.0000,0,0,0
1671462886441,-9.2999,-1.7987,1.9687,2.6600,2.5900,0.7700,1.0000,0.0000,0.0000,0,0,0
1671462886553,-9.3573,-1.7627,2.0046,1.6100,1.8200,0.8400,1.0001,0.0000,0.0000,0,0,0
1671462886666,-9.2975,-1.8178,1.9687,0.7000,0.0700,0.7000,1.0001,0.0000,0.0000,0,0,0
1671462886778,-9.1993,-1.8058,1.9376,-1.0500,-1.3300,0.2800,1.0001,0.0000,0.0000,0,0,0
1671462886889,-9.3669,-1.7819,1.8993,0.5600,-0.7700,-0.2100,1.0000,0.0000,0.0000,0,0,0
1671462887003,-9.2951,-1.7843,1.9040,1.0500,-0.4900,-0.6300,1.0000,0.0000,0.0000,0,0,0
1671462887120,-9.3765,-1.7627,1.9256,0.7700,-0.4200,-0.3500,1.0000,0.0000,0.0000,0,0,0
1671462887235,-9.2304,-1.7675,1.9376,0.8400,-0.1400,-0.0700,1.0000,0.0000,0.0000,0,0,0
1671462887346,-9.3070,-1.7939,2.0477,0.0000,0.3500,0.2100,1.0000,0.0000,0.0000,0,0,0
1671462887460,-9.2208,-1.8298,1.9016,-0.7700,0.3500,0.5600,1.0000,0.0000,0.0000,0,0,0
1671462887572,-9.2639,-1.7172,1.9280,-2.3100,0.4900,1.0500,1.0000,0.0000,0.0000,0,0,0
1671462887685,-9.3047,-1.7579,1.9376,1.9600,0.7700,0.4200,1.0000,0.0000,0.0000,0,0,0
1671462887797,-9.3478,-1.6909,1.9280,1.2600,0.3500,0.4900,1.0000,0.0000,0.0000,0,0,0
1671462887909,-9.3023,-1.7579,1.9040,-1.1900,-0.7000,0.7000,1.0000,0.0000,0.0000,0,0,0
1671462888022,-9.3118,-1.6406,1.8106,0.4900,-0.3500,0.6300,1.0000,0.0000,0.0000,0,0,0
1671462888134,-9.3262,-1.7076,1.9304,3.0100,-0.4200,1.1200,1.0000,0.0000,0.0000,0,0,0
1671462888245,-9.3286,-1.6023,1.9472,0.8400,0.4900,0.7000,1.0000,0.0000,0.0000,0,0,0
1671462888358,-9.3094,-1.6406,1.9040,4.2700,-0.1400,0.5600,1.0000,0.0000,0.0000,0,0,0
1671462888469,-9.2376,-1.5783,1.9879,1.0500,-0.8400,1.4700,1.0000,0.0000,0.0000,0,0,0
1671462888581,-9.3430,-1.5759,1.8657,-1.1900,0.4900,2.0300,1.0000,0.0000,0.0000,0,1,0
1671462888693,-9.1154,-1.6526,1.9615,-1.9600,1.6800,2.1700,1.0000,0.0000,0.0000,0,0,0
1671462888805,-9.0987,-2.1699,2.1603,5.4600,5.4600,1.1900,1.0000,0.0000,0.0000,0,0,0
1671462888921,-9.2376,-1.7436,1.6981,-9.2400,5.0400,0.4200,1.0000,0.0000,0.0000,0,0,0
1671462889037,-9.1490,-2.4333,2.3280,-11.9700,0.3500,-16.1000,1.0000,0.0000,0.0000,0,0,0
1671462889150,-10.1549,-3.3315,2.0861,-27.3700,-12.6700,-51.5900,1.0000,0.0000,0.0000,0,0,0
1671462889265,-10.2243,-5.2164,1.8418,-64.5400,-15.1900,-97.2300,1.0000,0.0000,0.0000,0,0,0
1671462889377,-8.4568,-6.0091,1.4155,-71.7500,-13.8600,-135.5200,1.0000,0.0000,0.0000,0,0,0
1671462889491,-6.0450,-8.3969,-0.2179,-99.8900,-8.8200,-139.7200,1.0000,0.0000,0.0000,0,0,0
1671462889602,-4.0260,-10.2986,-1.7771,-112.7700,37.4500,-154.5599,1.0000,0.0000,0.0000,0,0,0
1671462889714,-0.9173,-10.1118,-3.5710,-93.5200,74.4800,-152.7399,1.0000,0.0000,0.0000,0,0,0
1671462889827,2.4549,-8.0616,-4.5745,-79.8000,96.8100,-132.8600,1.0001,0.0000,0.0000,0,0,0
1671462889938,4.2583,-5.9660,-4.6272,-68.6000,92.3300,-99.0500,1.0001,0.0000,0.0000,0,0,0
1671462890050,5.7097,-4.2583,-4.0620,-71.0500,73.3600,-63.2800,1.0001,0.0000,0.0000,0,0,0
1671462890166,7.0917,-3.6452,-3.7865,-79.7300,49.7000,-34.5800,1.0001,0.0000,0.0000,0,0,0
1671462890278,7.8892,-4.0811,-3.9901,-57.7500,28.2100,-12.8100,1.0001,0.0000,0.0000,0,0,0
1671462890390,8.8376,-2.4094,-3.5087,-18.7600,9.5900,2.0300,1.0001,0.0000,0.0000,0,0,0
1671462890503,9.2424,-2.5076,-3.4824,18.4800,0.2800,-1.3300,1.0001,0.0000,0.0000,0,0,0
1671462890614,8.9574,-2.4812,-4.4499,19.6000,1.5400,-0.4200,1.0001,0.0000,0.0000,0,0,0
1671462890730,8.8544,-2.6273,-4.2751,7.7700,4.2700,3.0800,1.0002,0.0000,0.0000,0,0,0
1671462890844,8.9454,-2.7878,-3.8392,-2.5900,5.4600,3.2200,1.0002,0.0000,0.0000,0,0,0
1671462890956,8.8424,-2.6776,-3.5853,-1.0500,-3.2200,2.2400,1.0002,0.0000,0.0000,0,0,0
1671462891068,8.7562,-2.7734,-3.7171,10.2900,-16.1700,8.7500,1.0001,0.0000,0.0000,0,0,0
1671462891180,8.8280,-3.0920,-4.2703,14.0000,-14.2800,7.7700,1.0001,0.0000,0.0000,0,0,0
1671462891291,8.8448,-3.2285,-4.6847,12.2500,-6.3000,6.1600,1.0001,0.0000,0.0000,0,0,0
1671462891404,8.7897,-3.6476,-4.3805,0.8400,6.7200,0.4900,1.0001,0.0000,0.0000,0,0,0
