Time,Ax,Ay,Az,Gx,Gy,Gz,BAR,P,R,UP,DOWN,prob
1671664053703,-8.684,-2.579,3.561,-2.730,1.260,3.080,1.000,0.000,0.000,0,0,0.438
1671664053839,-8.715,-2.546,3.619,-0.490,-2.730,-1.750,1.000,0.000,0.000,0,0,0.497
1671664053973,-8.672,-2.254,3.535,3.010,0.980,0.000,1.000,0.000,0.000,0,0,0.494
1671664054109,-8.692,-2.270,3.185,-1.400,2.030,0.840,1.000,0.000,0.000,0,0,0.424
1671664054241,-8.629,-2.421,3.284,-0.490,1.400,-0.490,1.000,0.000,0.000,0,0,0.431
1671664054372,-8.653,-2.678,3.272,9.730,1.610,-5.110,1.000,0.000,0.000,0,0,0.469
1671664054502,-8.684,-2.333,3.616,11.970,0.420,-5.530,1.000,0.000,0.000,0,0,0.557
1671664054632,-8.723,-2.505,3.542,8.540,-2.240,-3.430,1.000,0.000,0.000,0,0,0.531
1671664054762,-8.682,-2.690,3.346,-6.650,-3.290,-4.410,1.000,0.000,0.000,0,0,0.436
1671664054891,-8.399,-5.025,5.039,-57.400,-25.550,-35.350,1.000,0.000,0.000,0,0,0.463
1671664055019,-8.066,-6.740,4.857,-77.910,-60.200,-104.160,1.000,0.000,0.000,0,0,0.611
1671664055146,-6.385,-9.891,2.328,-170.240,-53.690,-193.060,1.000,0.000,0.000,0,0,0.059
1671664055276,-2.350,-11.793,-2.644,-206.780,48.020,-217.630,1.000,0.000,0.000,0,0,0.000
1671664055406,1.887,-8.213,-3.763,-156.940,132.440,-154.490,1.000,0.000,0.000,0,0,0.000
1671664055538,5.271,-4.194,-1.511,-61.390,113.540,-75.740,1.000,0.000,0.000,0,0,0.000
1671664055666,7.513,-3.228,-1.710,-49.350,43.190,-24.640,1.000,0.000,0.000,0,0,0.000
1671664055794,8.926,-4.124,-2.227,-22.120,5.390,-5.810,1.000,0.000,0.000,0,0,0.000
1671664055921,8.960,-3.023,-3.260,15.050,-9.380,3.010,1.000,0.000,0.000,0,0,0.000
1671664056051,8.732,-4.230,-3.602,-23.730,-14.840,14.840,1.000,0.000,0.000,0,0,0.000
1671664056177,8.704,-4.064,-4.378,8.400,-7.490,5.460,1.000,0.000,0.000,0,0,0.000
1671664056300,8.476,-4.426,-3.207,5.040,8.960,1.120,1.000,0.000,0.000,1,0,0.000
1671664056420,8.392,-4.412,-3.525,-3.780,-0.560,1.400,1.000,0.000,0.000,0,0,0.000
1671664056541,8.213,-4.246,-2.572,10.220,-7.560,10.080,1.000,0.000,0.000,0,0,0.000
1671664056661,5.391,-2.079,-1.207,92.750,-59.220,85.120,1.000,0.000,0.000,0,0,0.003
1671664056780,1.803,-6.694,-0.893,62.510,-99.400,198.310,1.000,0.000,0.000,0,0,0.001
1671664056902,-2.584,-11.647,-0.007,196.280,-41.510,275.590,1.000,0.000,0.000,0,0,0.002
