Time,Ax,Ay,Az,Gx,Gy,Gz,BAR,P,R,UP,DOWN,prob
1671465029418,-9.6136,0.1916,-0.1006,-4.2000,0.2800,0.7700,1.0000,0.0000,0.0000,0,0,0
1671465029530,-9.6807,0.1126,0.1317,-4.9700,-1.1900,-0.2800,1.0000,0.0000,0.0000,0,0,0
1671465029641,-9.6567,0.1724,-0.1509,5.9500,-0.8400,-0.3500,1.0000,0.0000,0.0000,0,0,0
1671465029753,-9.6639,0.0575,-0.2371,4.4800,-1.8900,-0.2800,1.0000,0.0000,0.0000,0,0,0
1671465029864,-9.6711,0.1533,-0.1533,-3.2900,0.7700,0.3500,1.0000,0.0000,0.0000,0,0,0
1671465029974,-9.5992,0.0838,-0.1700,4.9000,0.3500,0.5600,1.0001,0.0000,0.0000,0,0,0
1671465030085,-9.6998,0.1581,0.0623,-0.2800,3.0800,-1.6100,1.0001,0.0000,0.0000,0,0,0
1671465030197,-9.6471,0.0599,-0.5485,1.6100,3.3600,-1.8900,1.0001,0.0000,0.0000,0,0,0
1671465030309,-9.6423,-0.0048,-0.2802,2.7300,3.7100,-1.4700,1.0001,0.0000,0.0000,0,0,0
1671465030420,-9.8052,-0.1988,-0.2922,3.1500,4.7600,6.7200,1.0001,0.0000,0.0000,0,0,0
1671465030533,-10.4231,0.0000,-0.2826,8.0500,17.0100,5.9500,1.0001,0.0000,0.0000,0,0,0
1671465030643,-10.3992,0.2778,-1.6406,-112.5600,1.8900,-2.2400,1.0001,0.0000,0.0000,0,0,0
1671465030756,-8.4784,3.4201,-1.8921,-40.9500,-1.5400,8.9600,1.0000,0.0000,0.0000,0,0,0
1671465030868,-8.6484,0.5772,0.6730,-2.0300,-3.5700,-0.7700,1.0000,0.0000,0.0000,0,0,0
1671465030979,-9.2591,1.1568,-0.4335,6.3000,-3.5000,0.4200,1.0001,0.0000,0.0000,0,0,0
1671465031092,-9.8148,1.4897,-0.5604,14.2100,-5.8800,-1.6800,1.0001,0.0000,0.0000,0,0,0
1671465031204,-9.5370,-0.1653,-0.7089,16.1700,-19.6700,-2.5200,1.0001,0.0000,0.0000,0,0,0
1671465031316,-10.9404,0.5724,-1.2933,7.8400,-10.0800,3.7800,1.0002,0.0000,0.0000,0,0,0
1671465031427,-11.4290,1.6334,-1.4514,1.9600,-3.4300,0.7000,1.0002,0.0000,0.0000,0,0,0
1671465031542,-10.1693,0.6922,-0.7544,1.2600,-1.5400,0.8400,1.0002,0.0000,0.0000,0,0,0
1671465031655,-10.1812,0.8862,-0.1916,1.1200,0.2100,1.1900,1.0002,0.0000,0.0000,0,0,0
1671465031767,-9.3094,0.7065,-0.3137,7.0700,-4.2000,2.5200,1.0002,0.0000,0.0000,0,0,0
1671465031879,-8.5574,0.5868,0.0934,13.3700,-14.2800,0.5600,1.0002,0.0000,0.0000,0,0,0
1671465031990,-8.0281,0.3569,0.3401,14.4200,-19.8800,2.5900,1.0002,0.0000,0.0000,0,0,0
1671465032102,-6.7587,0.4718,-0.0695,6.0200,-36.8900,-0.2800,1.0002,0.0000,0.0000,0,0,0
1671465032214,-7.3886,0.7353,1.0466,1.8200,-28.4900,-3.9900,1.0001,0.0000,0.0000,0,0,0
1671465032325,-9.3166,0.5868,1.8442,2.4500,-6.9300,-1.8200,1.0002,0.0000,0.0000,0,0,0
1671465032441,-10.0663,0.8143,2.6489,-1.9600,-1.6100,4.2000,1.0002,0.0000,0.0000,0,0,0
1671465032554,-8.9095,0.8478,1.8202,-1.9600,-9.5200,5.7400,1.0001,0.0000,0.0000,0,0,0
1671465032665,-9.1633,0.9700,2.6752,-2.1000,-3.4300,1.8900,1.0001,0.0000,0.0000,0,0,0
1671465032777,-8.8400,1.0083,2.4812,0.5600,6.0900,-1.6800,1.0001,0.0000,0.0000,1,0,0
1671465032888,-8.2580,0.6514,1.8418,-0.2800,20.0200,-2.3800,1.0001,0.0000,0.0000,0,0,0
1671465033000,-8.3586,0.8143,1.0778,1.6100,34.7900,-3.1500,1.0001,0.0000,0.0000,0,0,0
1671465033111,-8.5430,0.7017,0.2563,-0.2800,38.1500,-1.8900,1.0001,0.0000,0.0000,0,0,0
1671465033222,-8.5263,0.7544,-0.0766,-6.0200,22.8900,0.0000,1.0001,0.0000,0.0000,0,0,0
1671465033335,-8.7418,0.3114,-0.1581,-7.9800,6.7900,2.7300,1.0001,0.0000,0.0000,0,0,0
