Time,Ax,Ay,Az,Gx,Gy,Gz,BAR,P,R,UP,DOWN,prob
1671463125509,-9.0340,-3.2596,1.3101,-0.4200,-1.0500,3.1500,1.0000,0.0000,0.0000,0,0,0
1671463125621,-9.0915,-3.1782,1.4059,-0.1400,0.5600,2.4500,1.0000,0.0000,0.0000,0,0,0
1671463125732,-9.0196,-3.1039,1.3388,2.3800,1.0500,-0.1400,1.0000,0.0000,0.0000,0,0,0
1671463125846,-9.1130,-3.1303,1.2574,2.4500,-0.1400,-0.7700,1.0000,0.0000,0.0000,0,0,0
1671463125958,-9.0604,-2.9986,1.2358,2.1700,-0.4900,-0.1400,1.0000,0.0000,0.0000,0,0,0
1671463126071,-9.0628,-2.9890,1.2502,1.4700,-0.5600,1.7500,1.0000,0.0000,0.0000,0,0,0
1671463126183,-9.0891,-3.0560,1.2263,0.2100,0.9800,0.4900,1.0000,0.0000,0.0000,0,0,0
1671463126296,-9.1035,-3.0249,1.1544,0.6300,1.1200,0.2800,1.0000,0.0000,0.0000,0,0,0
1671463126408,-9.1274,-2.9171,1.2406,0.7700,0.7000,-0.2800,1.0001,0.0000,0.0000,0,0,0
1671463126519,-9.1442,-2.9890,1.2742,-0.4900,0.0000,0.0700,1.0000,0.0000,0.0000,0,0,0
1671463126630,-9.0460,-2.9507,1.2191,-0.8400,0.5600,-0.4200,1.0001,0.0000,0.0000,0,0,0
1671463126741,-9.1107,-3.0057,1.2742,-0.2800,0.0000,1.4000,1.0000,0.0000,0.0000,0,0,0
1671463126855,-9.0819,-3.0776,1.3029,0.2100,0.7700,0.8400,1.0000,0.0000,0.0000,0,0,0
1671463126966,-9.0795,-3.0249,1.2670,1.1200,0.2800,1.1200,1.0000,0.0000,0.0000,0,0,0
1671463127077,-9.1442,-3.0656,1.3173,0.0700,0.4900,0.7700,1.0001,0.0000,0.0000,0,0,0
1671463127189,-9.1083,-3.0321,1.2933,1.7500,0.1400,0.0700,1.0001,0.0000,0.0000,0,0,0
1671463127300,-8.9909,-2.8261,1.1544,2.3100,1.1200,-0.1400,1.0001,0.0000,0.0000,0,0,0
1671463127415,-9.2041,-3.4057,2.7040,13.4400,-12.9500,-12.0400,1.0001,0.0000,0.0000,0,0,0
1671463127526,-9.7190,-3.3937,5.5325,23.3800,-55.6500,-2.2400,1.0001,0.0000,0.0000,0,0,0
1671463127637,-10.4878,-3.6548,6.0091,40.5300,-89.6700,-19.1100,1.0001,0.0000,0.0000,0,0,0
1671463127750,-9.4891,-4.1458,6.4234,47.3200,-114.7299,-29.8200,1.0001,0.0000,0.0000,0,0,0
1671463127862,-8.0257,-4.1841,7.1970,40.7400,-119.7700,-26.7400,1.0001,0.0000,0.0000,0,0,0
1671463127973,-5.0822,-3.8105,7.6042,47.1800,-110.7400,-29.1900,1.0001,0.0000,0.0000,0,0,0
1671463128084,-2.6489,-2.7878,8.5574,61.4600,-76.0900,-26.3200,1.0001,0.0000,0.0000,0,0,0
1671463128197,-1.2933,-1.9208,8.8831,71.4000,-62.8600,-18.1300,1.0000,0.0000,0.0000,0,0,0
1671463128309,-0.6850,-0.1509,8.7682,60.1300,-49.8400,-18.1300,1.0000,0.0000,0.0000,0,0,0
1671463128421,1.6621,1.0610,5.8558,7.0700,-42.6300,-8.6800,1.0000,0.0000,0.0000,0,0,0
1671463128533,2.3327,0.7281,6.2797,-31.2200,-20.4400,3.5000,0.9999,0.0000,0.0000,0,0,0
1671463128644,2.1004,-0.3329,8.0401,-30.3800,18.5500,11.7600,0.9999,0.0000,0.0000,0,0,0
1671463128757,1.0203,-0.8838,8.6149,-35.0700,41.5800,13.3700,0.9999,0.0000,0.0000,0,0,0
1671463128868,-0.4095,-2.1914,9.2184,-42.4200,52.8500,9.6600,0.9999,0.0000,0.0000,0,0,0
1671463128980,-1.3029,-2.6465,8.4832,-44.4500,63.4200,10.0800,0.9999,0.0000,0.0000,0,0,0
1671463129094,-2.4669,-3.4824,8.1934,-49.2800,67.6200,4.8300,1.0000,0.0000,0.0000,0,0,0
1671463129206,-3.8536,-4.6056,8.3945,-64.3300,65.0300,13.5800,0.9999,0.0000,0.0000,0,0,0
1671463129317,-5.1876,-5.3481,7.7072,-60.6200,69.5100,22.8900,1.0000,0.0000,0.0000,1,0,0
1671463129430,-6.2175,-5.7504,6.7348,-32.2000,66.2900,26.4600,1.0000,0.0000,0.0000,0,0,0
1671463129542,-6.8953,-5.1182,5.4918,-33.8800,58.3800,30.4500,1.0000,0.0000,0.0000,0,0,0
1671463129654,-7.4581,-5.5804,5.1493,-48.1600,55.5100,31.5000,1.0000,0.0000,0.0000,0,0,0
1671463129765,-8.4832,-5.7552,3.7578,-17.5000,43.8900,22.8900,1.0000,0.0000,0.0000,0,0,0
1671463129877,-8.3850,-5.0367,2.8094,8.5400,43.0500,16.3800,0.9999,0.0000,0.0000,0,0,0
1671463129990,-8.7131,-4.4212,2.7016,18.5500,34.4400,6.6500,0.9999,0.0000,0.0000,0,0,0
1671463130103,-8.7610,-4.2536,2.0693,7.4900,12.3200,3.9200,0.9999,0.0000,0.0000,0,1,0
1671463130214,-8.8328,-4.1649,1.5711,-4.9000,4.4800,0.3500,1.0000,0.0000,0.0000,0,0,0
1671463130326,-8.7418,-4.3278,1.4418,3.6400,-3.0800,-3.0100,1.0000,0.0000,0.0000,0,0,0
1671463130438,-8.6412,-4.2559,1.1376,4.7600,-2.8700,-1.8900,1.0000,0.0000,0.0000,0,0,0
1671463130549,-8.6412,-4.1817,1.1400,-2.4500,-1.7500,-0.9800,1.0000,0.0000,0.0000,0,0,0
