Time;Ax;Ay;Az;Gx;Gy;Gz;BAR;P;R;UP;DOWN;prob
1670422397923;9.83156;0.14849;2.86684;0.07;-0.49;0.21;986.30151;0;0;0;0;1
1670422398012;9.84114;0.15568;2.96982;0.35;0;0.7;986.30469;0;0;0;0;1
1670422398113;9.82198;0.21076;3.04886;-0.14;-0.49;-0.21;986.30859;0;0;0;0;1
1670422398215;9.72139;0.2419;2.78062;-0.21;-1.19;0.91;986.3313;0;0;0;0;1
1670422398318;9.98005;0.15568;2.6944;-0.07;2.73;1.26;986.34863;0;0;0;0;1
1670422398424;9.89862;-0.02395;3.14706;0.14;0.56;0.7;986.33911;0;0;0;0;1
1670422398517;9.83156;0.15089;2.96743;-0.77;-1.54;0.07;986.35278;0;0;0;0;1
1670422398620;9.88185;0.09101;2.80696;-1.47;3.85;0.35;986.34473;0;0;0;0;1
1670422398719;9.80761;0.21316;2.88121;-0.98;-0.49;-0.84;986.33862;0;0;0;0;1
1670422398820;9.78366;0.14849;2.90276;-0.56;1.26;0.56;986.3623;0;0;0;0;1
1670422398921;9.78605;0.16047;2.93629;-2.03;-0.91;-0.35;986.35767;0;0;0;0;1
1670422399022;9.85551;0.07664;2.84289;0.7;-0.21;0.35;986.37622;0;0;0;0;1
1670422399126;9.78845;0.08862;2.82612;-0.49;-1.47;0.35;986.375;0;0;0;0;1
1670422399222;9.90101;0.08622;2.92671;0.14;1.12;0.56;986.37695;0;0;0;0;1
1670422399325;9.80282;0.11017;2.91713;0;0.63;-0.49;986.34692;0;0;0;0;1
1670422399426;9.79084;0.09101;2.86205;-0.07;0.77;0.91;986.35107;0;0;0;0;1
1670422399527;9.8603;0.14131;2.92911;-1.89;1.47;0.49;986.37573;0;0;0;0;1
1670422399629;9.77408;0.11736;2.99377;-0.56;0.63;0.07;986.36694;0;0;0;0;1
1670422399720;9.87706;0.33291;2.82852;-3.5;-2.17;-0.63;986.36475;0;0;1;0;1
1670422399833;10.1453;0.08622;2.44053;0.14;-3.92;0.14;986.37158;0;0;1;0;1
1670422399923;9.53218;0.12933;1.56634;-3.01;8.75;1.4;986.36621;0;0;1;0;1
1670422400032;7.08447;-0.14131;2.06211;-7.42;35.97998;2.73;986.36768;0;0;1;0;1
1670422400133;6.057;-0.02635;2.73272;4.76;42.55999;5.74;986.38037;0;0;1;0;1
1670422400233;7.10602;-0.27782;3.00096;-0.28;49.90998;1.68;986.38525;0;0;1;0;1
1670422400335;8.54064;0.6754;5.23791;-2.03;46.96998;1.4;986.38843;0;0;1;0;1
1670422400437;8.55262;-0.12215;6.51206;0.07;38.91999;2.73;986.39575;0;0;1;0;1
1670422400538;9.06994;-0.43589;7.59221;-7.77;34.08998;6.02;986.42065;0;0;1;0;1
1670422400639;8.43047;-0.32812;8.41131;-4.9;19.66999;1.47;986.43945;0;0;1;0;1
1670422400739;8.13109;-0.32812;8.95019;-2.45;11.62;2.59;986.46143;0;0;1;0;1
1670422400836;8.16702;-0.49577;9.06994;-9.66;6.72;5.18;986.46509;0;0;0;1;1
1670422400942;7.65448;-0.9604;8.943;-9.31;9.24;2.24;986.48291;0;0;0;1;1
1670422401043;7.96344;-0.97477;8.95737;1.82;2.38;2.94;986.49854;0;0;0;1;1
1670422401145;9.8603;-0.81191;9.98005;1.89;-23.65999;-2.03;986.52124;0;0;0;1;1
1670422401240;9.36213;-0.76641;8.92145;3.22;-21.83999;-4.2;986.53857;0;0;0;1;1
1670422401346;9.44356;-0.49337;7.73591;1.96;-32.96999;-2.45;986.53467;0;0;0;1;1
1670422401447;8.39694;-0.68258;7.01022;-1.05;-30.23999;-1.96;986.52197;0;0;0;1;1
1670422401549;7.26649;-0.32572;4.83794;2.66;-36.32999;-0.84;986.5293;0;0;0;1;1
1670422401650;6.26058;-0.2395;3.89909;-2.8;-36.39999;-4.62;986.51709;0;0;0;1;1
1670422401750;5.88456;-0.11975;2.86444;4.34;-43.11998;-9.8;986.51465;0;0;0;1;1
1670422401852;6.23663;-0.30177;1.99505;7.7;-37.72998;-12.74;986.5;0;0;0;1;1
1670422401952;9.82198;0.03832;2.70398;7.84;-39.26999;-1.19;986.48608;0;0;0;1;1
1670422402055;10.19799;0.54846;1.65017;1.68;-2.8;-5.25;986.48853;0;0;0;1;1
1670422402154;9.42919;0.11257;3.02012;-8.96;-5.18;3.36;986.479;0;0;1;0;1
1670422402255;10.18841;0.39278;2.46448;1.61;-3.15;-4.48;986.47192;0;0;1;0;1
1670422402353;10.18362;0.1437;2.48124;-3.71;4.34;2.03;986.46191;0;0;1;0;1
1670422402472;7.57066;0.34249;0.74246;-1.26;37.93999;2.8;986.45068;0;0;1;0;1
1670422402557;3.67157;-0.5772;3.32668;-4.97;54.59998;0.84;986.42529;0;0;1;0;1
1670422402662;6.21029;-0.57959;3.54463;-0.28;48.15998;3.08;986.43604;0;0;1;0;1
1670422402765;9.26394;0.54846;5.45346;-7.0;45.28999;7.42;986.43921;0;0;1;0;1
1670422402868;8.69632;-0.42152;7.61377;-9.52;41.78998;-0.28;986.41821;0;0;1;0;1
1670422402966;8.49992;0.18442;6.65336;-7.28;34.64999;8.33;986.46069;0;0;1;0;1
1670422403070;9.11784;-0.41673;9.34297;-11.41;16.30999;4.62;986.47559;0;0;1;0;1
1670422403170;8.62207;-0.70653;9.46272;1.26;10.29;-2.38;986.50244;0;0;1;0;1
1670422403267;8.11912;-0.74006;8.32748;0.77;9.8;1.19;986.50342;0;0;1;0;1
1670422403371;7.68322;-0.56283;8.19576;-2.94;10.08;4.2;986.50269;0;0;1;0;1
1670422403471;7.2593;-0.54127;8.48555;-1.26;5.25;2.24;986.50195;0;0;0;1;1
1670422403574;7.14913;-0.68977;8.02811;3.36;-10.08;-0.84;986.49731;0;0;0;1;1
1670422403674;10.50216;-0.71372;10.61473;-3.08;-33.31999;-3.01;986.51245;0;0;0;1;1
1670422403772;9.74294;-0.74964;9.06754;12.32;-26.59999;-6.44;986.53149;0;0;0;1;1
1670422403875;9.30465;-0.25148;7.33834;11.48;-37.09999;-2.1;986.51074;0;0;0;1;1
1670422403977;8.61968;-0.07904;5.97797;6.79;-38.49999;-3.29;986.48096;0;0;0;1;1
1670422404078;7.75507;-0.23711;4.6152;5.04;-41.57999;-0.98;986.46118;0;0;0;1;1
1670422404179;6.40189;-0.01916;3.32908;0.7;-32.82999;-4.41;986.45215;0;0;0;1;1
1670422404282;5.24988;0.15089;2.47406;4.69;-34.01999;-12.53;986.41553;0;0;0;1;1
1670422404383;6.29651;0.10538;2.74709;0.07;-35.41999;-14.27999;986.42944;0;0;0;1;1
1670422404483;10.48779;0.97238;2.58423;8.89;-42.27998;-2.94;986.43042;0;0;0;1;1
1670422404583;9.32381;0.66342;1.20948;2.52;-5.95;-1.54;986.40747;0;0;0;1;1
1670422404686;10.22194;1.19032;1.7292;-10.29;-3.08;2.1;986.41284;0;0;1;0;1
1670422404787;10.004;0.37362;2.11959;-7.91;2.52;5.25;986.43335;0;0;1;0;1
1670422404887;10.22434;0.67061;1.65256;-2.59;16.16999;2.94;986.42944;0;0;1;0;1
1670422404986;7.33355;0.30177;2.47166;-2.45;50.25998;7.28;986.41528;0;0;1;0;1
1670422405089;5.06068;0;2.886;0;44.65998;4.34;986.42529;0;0;1;0;1
1670422405190;5.55166;0.19879;3.89909;-4.62;50.46998;3.43;986.4248;0;0;1;0;1
1670422405292;7.8868;0.18202;4.15296;-7.35;39.75999;5.53;986.42212;0;0;1;0;1
1670422405393;8.89271;0.08862;7.09884;-19.03999;22.67999;4.13;986.43237;0;0;1;0;1
1670422405494;9.98963;-0.36644;8.19815;-12.11;19.31999;3.85;986.45605;0;0;1;0;1
1670422405597;9.8603;-0.28261;9.19448;-8.68;16.09999;2.24;986.47876;0;0;1;0;1
1670422405697;9.65911;-0.42631;7.53713;-0.91;4.97;-0.49;986.48975;0;0;1;0;1
1670422405799;8.86157;-0.37123;8.06164;-5.88;7.56;1.61;986.50757;0;0;1;0;1
1670422405899;8.39454;-0.59396;7.43175;-2.1;6.37;1.05;986.48975;0;0;0;1;1
1670422406000;7.8868;-0.85263;7.42935;4.27;-1.05;0.98;986.49951;0;0;0;1;1
1670422406098;10.47103;-0.69695;9.18251;0.7;-24.63999;-1.61;986.49414;0;0;0;1;1
1670422406205;10.44468;-0.54606;8.48795;13.23;-25.82999;-4.97;986.47754;0;0;0;1;1
1670422406305;9.80521;-0.35686;6.91442;11.06;-34.99998;-4.62;986.46777;0;0;0;1;1
1670422406406;9.43877;-0.194;6.10969;7.63;-38.35999;-3.78;986.45923;0;0;0;1;1
1670422406507;7.7431;-0.02874;4.36852;8.19;-38.00999;-0.21;986.4624;0;0;0;1;1
1670422406608;6.49529;0.04072;2.68242;6.3;-27.78999;1.19;986.4375;0;0;0;1;1
1670422406709;5.74565;0.25387;2.25132;8.61;-35.48999;-7.07;986.44556;0;0;0;1;1
1670422406810;6.30609;0.29459;1.77231;3.22;-38.14999;-10.43;986.44287;0;0;0;1;1
1670422406910;10.49019;0.37602;2.31359;12.18;-38.84999;0.49;986.4353;0;0;1;0;1
1670422407014;9.97047;0.91011;0.88855;14.0;-4.48;-1.75;986.43042;0;0;1;0;1
1670422407129;9.4723;0.44308;1.77471;-4.55;-2.73;6.44;986.42114;0;0;1;0;1
1670422407213;10.84704;0.7712;1.73399;3.36;8.54;4.69;986.41162;0;0;1;0;1
1670422407315;9.55852;0.58199;0.72809;-1.68;21.62999;4.41;986.39697;0;0;1;0;1
1670422407416;6.05461;0.14849;1.1065;-0.91;49.48998;3.36;986.4104;0;0;1;0;1
1670422407522;6.29651;0.13891;3.07042;-6.65;34.43999;3.99;986.42139;0;0;1;0;1
1670422407620;8.64363;0.35446;3.77695;-3.64;34.15999;4.13;986.43701;0;0;1;0;1
1670422407720;8.37778;-0.16526;4.19847;-6.86;35.55999;3.71;986.39868;0;0;1;0;1
