Time;Ax;Ay;Az;Gx;Gy;Gz;BAR;P;R;UP;DOWN;prob
1670691076015;-8.49753;-2.91474;3.63564;1.19;-1.4;-2.1;1;0;0;0;0;0.63016
1670691076213;-8.21492;-3.09916;3.72186;-5.95;-6.93;-7.14;0.99999;0;0;0;0;0.99083
1670691076414;-8.32269;-3.31471;3.49194;-4.06;-2.87;-3.64;1.0;0;0;0;0;0.99152
1670691076615;-8.33706;-3.42727;3.69791;-2.8;2.38;5.11;1.00001;0;0;0;0;0.98697
1670691076816;-8.32509;-3.52547;3.64043;0.49;1.4;3.57;1.00003;0;0;0;0;0.98043
1670691077019;-8.42328;-3.32668;3.56379;1.89;0.91;1.75;1.00003;0;0;0;0;0.98412
1670691077221;-8.42328;-3.11832;3.47757;-0.98;-0.84;0.14;1.00001;0;0;0;0;0.98669
1670691077422;-8.38975;-3.28836;3.63564;-0.98;-0.91;-0.63;1.0;0;0;0;0;0.98719
1670691077623;-8.29395;-3.30034;3.60929;-3.36;-3.15;0.7;1.00003;0;0;0;0;0.98763
1670691077818;-8.37059;-3.29794;3.58055;-4.48;-2.31;-3.99;1.00002;0;0;0;0;0.98788
1670691078025;-8.2724;-3.4608;3.78174;2.52;3.5;8.4;1.00003;0;0;0;0;0.98691
1670691078230;-8.35383;-3.25244;3.62606;1.82;2.38;0.56;1.00001;0;0;0;0;0.98311
1670691078431;-8.21731;-3.34824;3.64282;0.21;1.96;-0.98;1.00005;0;0;0;1;0.98532
1670691078634;-8.14786;-7.33355;4.06914;-147.90994;-36.95999;-80.84997;1.00008;0;0;0;1;0.9839
1670691078834;-6.31567;-11.56555;-1.02267;-155.18994;50.74998;-214.05992;1.00009;0;0;0;1;0.49088
1670691079036;0.1916;-7.25451;-3.13269;-69.08997;117.80996;-145.80995;1.00009;0;0;0;1;0.00001
1670691079240;6.04263;-5.35047;-3.93981;-144.68994;78.04997;-62.71997;1.00011;0;0;0;1;1.3495E-7
1670691079453;7.90835;-3.11353;-1.81782;-29.88999;38.70998;-11.83;1.00015;0;0;0;1;7.3828E-9
1670691079643;8.87355;-2.85965;-4.15775;-7.56;-4.83;1.61;1.00019;0;0;0;1;0.00015
1670691079845;8.71069;-3.49912;-3.18538;22.53999;-7.28;4.27;1.00017;0;0;1;0;0.0052
1670691080047;5.69057;-5.56842;-3.51349;246.6799;-82.10997;82.03997;1.00011;0;0;1;0;0.04082
1670691080247;1.18793;-8.63644;-1.83938;243.52991;-72.79997;188.85994;1.00005;0;0;1;0;1.0
1670691080449;-5.9133;-12.0709;3.61648;42.20998;9.1;145.17995;1.00005;0;0;1;0;1.0
1670691080650;-7.75028;-5.57561;4.02842;27.85999;36.60999;109.26996;1.00001;0;0;1;0;0.77164
1670691080852;-9.01725;-3.53265;3.95178;29.81999;31.21999;57.18998;0.99999;0;0;1;0;0.69883
1670691081054;-9.15616;-1.17116;2.92911;10.64;12.80999;20.71999;1.0;0;0;1;0;0.94408
1670691081259;-9.30226;-1.59987;2.85726;26.03999;2.17;4.2;1.0;0;0;0;1;0.98209
1670691081459;-8.94779;-4.26792;3.72426;-165.89993;-41.36998;-59.84998;1.00002;0;0;0;1;0.99699
1670691081665;-8.30593;-8.27958;2.29922;-118.57996;-18.26999;-183.81993;1.00003;0;0;0;1;0.54
1670691081863;-3.38656;-11.57273;-3.20454;-213.07993;93.02996;-186.19994;1.00002;0;0;0;1;0.40906
1670691082065;3.40811;-6.56235;-4.53377;-98.97997;135.79996;-97.92996;1.00005;0;0;0;1;1.2861E-9
1670691082266;7.08926;-3.23088;-2.25371;-67.54998;99.25996;-48.36998;1.00009;0;0;0;1;7.5119E-10
1670691082466;8.98851;-2.18665;-1.30529;-15.32999;-1.89;-2.38;1.00012;0;0;0;1;1.337E-7
1670691082667;9.64714;-3.22609;-2.65368;14.13999;-0.07;-0.63;1.00016;0;0;0;1;0.01281
1670691082869;9.19448;-2.76385;-2.29443;26.45999;-14.35;5.18;1.00015;0;0;1;0;0.01503
1670691083069;6.69408;-4.95769;-0.30177;321.99988;-76.50997;93.72997;1.0001;0;0;1;0;0.13428
1670691083273;1.9711;-7.20182;-0.03832;134.53995;-37.79998;200.96992;0.99999;0;0;1;0;1.0
1670691083472;-2.61536;-11.40987;6.64139;68.80997;41.78998;136.77995;0.99998;0;0;1;0;0.99839
1670691083677;-7.2114;-5.90372;5.92049;5.95;64.81998;91.41997;0.99996;0;0;1;0;0.55284
1670691083875;-8.78014;-4.25835;4.75651;4.48;46.47998;74.33997;0.99997;0;0;1;0;0.11833
1670691084075;-9.02922;-1.38193;3.88951;43.18998;30.09999;35.48999;0.99998;0;0;1;0;0.53137
1670691084279;-9.22322;-0.60354;2.91713;9.94;0.07;10.36;0.99997;0;0;1;0;0.98708
1670691084479;-9.02204;-0.97717;2.98898;-20.71999;-15.67999;-15.95999;0.99999;0;0;0;1;0.99541
