Time;Ax;Ay;Az;Gx;Gy;Gz;BAR;P;R;UP;DOWN;prob
1670691361641;-7.71675;-0.94364;6.07377;-3.15;2.17;1.26;1;0;0;0;0;0.63016
1670691361829;-7.2593;-1.17356;5.49897;3.08;-0.7;0.77;1.00002;0;0;0;0;0.99612
1670691362031;-7.55389;-0.83586;5.97318;0.77;-3.64;4.48;1.00003;0;0;0;0;0.99643
1670691362232;-7.54192;-0.91011;5.89893;4.06;1.96;4.06;1.00005;0;0;0;0;0.99791
1670691362433;-7.13955;-0.74964;5.9636;-2.1;-2.1;1.4;1.00002;0;0;0;0;0.9969
1670691362638;-7.53473;-0.95561;5.8175;-7.07;1.12;-1.96;1.00004;0;0;0;0;0.99694
1670691362836;-7.76226;-0.673;6.19592;-2.52;7.42;2.66;1.00005;0;0;0;0;0.99494
1670691363038;-7.40301;-0.85981;6.02826;5.53;-0.28;1.26;1.00004;0;0;0;0;0.99472
1670691363239;-7.65927;-0.92687;5.58279;-3.01;-4.13;-1.47;1.00001;0;0;0;0;0.99777
1670691363438;-7.76226;-0.91011;5.92288;-1.89;0.84;-0.98;1.00003;0;0;0;0;0.99725
1670691363641;-7.62574;-0.71132;6.057;3.92;0;1.4;1.00003;0;0;0;0;0.99667
1670691363841;-7.58742;-0.99393;5.7696;-8.54;-4.13;3.57;1.00003;0;0;0;0;0.99781
1670691364041;-7.50839;-1.20709;5.99473;-0.98;1.26;-3.22;1.00001;0;0;0;0;0.99638
1670691364246;-7.39103;-1.02746;6.1073;-0.28;-1.89;-0.63;1.00001;0;0;0;0;0.99632
1670691364446;-7.4054;-0.87897;6.03784;3.5;-0.77;0.42;1.00003;0;0;0;0;0.99743
1670691364654;-7.33834;-1.23344;5.89893;-1.82;-0.14;3.43;1.00003;0;0;0;0;0.99765
1670691364842;-7.34553;-1.0562;6.09293;3.99;1.96;-2.8;1.00001;0;0;0;0;0.99599
1670691365042;-7.3096;-1.32684;5.78637;8.26;0.84;-3.64;1.00002;0;0;0;0;0.99704
1670691365243;-7.75028;-0.82149;5.59956;4.41;1.54;1.19;1.00002;0;0;0;0;0.9973
1670691365444;-7.43893;-0.74964;5.88696;0.7;4.48;0.77;1.00003;0;0;0;0;0.99698
1670691365645;-7.66167;-0.63947;5.85343;3.5;1.4;-0.84;1.00005;0;0;0;0;0.99552
1670691365851;-7.68801;-0.70893;5.71931;-1.61;0.77;1.05;1.00007;0;0;0;0;0.99734
1670691366053;-7.74549;-0.87897;5.93486;-1.61;-2.73;0.77;1.00004;0;0;0;0;0.99643
1670691366256;-7.73352;-0.97477;5.75523;-0.77;-0.35;-0.7;1.00007;0;0;0;0;0.99761
1670691366459;-7.77423;-0.65384;5.70973;0.21;1.75;0.56;1.00005;0;0;0;1;0.99685
1670691366661;-7.96823;-0.81431;5.70494;0.56;1.12;-0.63;1.00008;0;0;0;1;0.9966
1670691366863;-9.41003;-1.16158;6.57672;-4.9;1.05;0.35;1.00009;0;0;0;1;0.99694
1670691367067;-9.77408;-0.70653;6.95274;-3.99;0.77;3.5;1.00008;0;0;0;1;0.99824
1670691367267;-8.42807;-0.87418;5.93965;-5.46;-3.99;4.06;1.00008;0;0;0;1;0.9989
1670691367470;-5.06307;-0.54846;4.43079;0.91;-8.47;-2.66;1.00011;0;0;0;1;0.99789
1670691367674;-6.07137;-1.06578;5.35526;1.89;-22.46999;-3.22;1.00008;0;0;0;1;0.99417
1670691367875;-6.33243;-0.68977;6.10491;-1.61;-2.31;-1.05;1.00009;0;0;0;1;0.9992
1670691368077;-7.6952;-1.17116;6.7324;3.29;20.99999;-3.29;1.0001;0;0;1;0;0.99653
1670691368280;-7.3599;-1.86812;5.45585;2.17;-23.79999;22.25999;1.00011;0;0;1;0;0.98867
1670691368487;-6.21747;1.74597;6.79707;24.49999;28.69999;16.72999;1.00009;0;0;1;0;0.99933
1670691368690;-7.26409;0.51493;5.27383;-11.62;46.47998;-3.71;1.00014;0;0;1;0;0.993
1670691368891;-6.4426;-0.5748;4.86428;-7.07;4.97;-9.8;1.00011;0;0;1;0;0.72773
1670691369091;-7.72633;-0.14849;4.52419;11.97;11.34;3.01;1.00007;0;0;1;0;0.98608
1670691369294;-8.73943;0.5293;3.8943;3.29;16.23999;-0.21;1.00003;0;0;1;0;0.99277
