Time;Ax;Ay;Az;Gx;Gy;Gz;BAR;P;R;UP;DOWN;prob
1670691582445;-8.63405;-0.65624;4.24637;-0.56;-0.07;-0.77;1;0;0;0;0;0.63016
1670691582639;-8.59812;-0.7233;4.23439;0.35;0.14;0.21;1.00005;0;0;0;0;0.99548
1670691582840;-8.64842;-0.6754;4.22481;0.42;-0.14;0.84;1.00004;0;0;0;0;0.9954
1670691583042;-8.61489;-0.69216;4.2823;0.42;-0.7;0.21;1.00004;0;0;0;0;0.99562
1670691583244;-8.59094;-0.7233;4.29667;0.28;-0.07;-0.21;1.00003;0;0;0;0;0.99591
1670691583444;-8.59812;-0.7233;4.2799;0.84;-0.56;-0.42;1.00005;0;0;0;0;0.99561
1670691583646;-8.60531;-0.71132;4.27032;0.7;-0.21;0.42;1.00003;0;0;0;0;0.9959
1670691583847;-8.60052;-0.61073;4.25355;0.07;0.35;0.63;1.00005;0;0;0;0;0.99571
1670691584049;-8.61968;-0.69695;4.27032;0.98;-1.26;-1.26;1.00005;0;0;0;0;0.99541
1670691584249;-8.63165;-0.74725;4.29427;2.59;3.22;0.77;1.00005;0;0;0;0;0.99624
1670691584449;-8.6101;-0.55564;4.20565;-1.26;-0.35;-0.14;1.00007;0;0;0;0;0.99474
1670691584651;-8.66279;-0.77838;4.21044;-0.77;0.56;-1.61;1.00004;0;0;0;0;0.9954
1670691584848;-8.6556;-0.84305;4.10985;-1.54;0.77;-2.03;1.00005;0;0;1;0;0.99501
1670691585061;-8.65321;-0.87658;4.16733;1.05;0.42;-0.14;1.00007;0;0;1;0;0.99436
1670691585254;-8.66039;-0.8646;4.16254;5.11;2.03;-3.29;1.0001;0;0;1;0;0.99521
1670691585456;-8.67955;-0.79515;3.83682;9.8;5.67;-22.46999;1.00009;0;0;1;0;0.99563
1670691585658;-8.45202;-2.16031;4.22721;3.99;4.62;-18.75999;1.00012;0;0;1;0;0.9954
1670691585859;-8.52866;-2.11001;3.9901;-10.57;0.84;-15.88999;1.00011;0;0;1;0;0.99261
1670691586064;-8.56459;-3.22609;3.36979;-8.05;13.01999;-14.35;1.00012;0;0;1;0;0.98785
1670691586261;-8.36341;-3.64282;3.38177;-4.34;6.65;-0.7;1.00012;0;0;1;0;0.94421
1670691586459;-8.83523;-3.74821;2.82133;-0.14;3.5;2.59;1.00015;0;0;1;0;0.96442
1670691586664;-8.53345;-2.53872;3.25962;0.21;-7.14;15.12;1.00017;0;0;1;0;0.97413
1670691586865;-8.85918;-2.6441;2.86684;-5.25;4.76;5.88;1.00014;0;0;1;0;0.99277
1670691587068;-8.91187;-2.65608;2.90276;1.4;-0.7;2.73;1.00015;0;0;0;1;0.97187
1670691587267;-8.86157;-2.02379;2.39741;16.02999;5.11;-15.25999;1.00016;0;0;0;1;0.9883
1670691587469;-8.50232;-2.5483;3.35303;-13.58;1.96;-11.48;1.00016;0;0;0;1;0.99113
1670691587670;-8.88073;-3.53505;2.42615;-1.82;-4.97;-11.34;1.00015;0;0;0;1;0.97513
1670691587874;-8.54782;-3.2237;3.15903;0.77;-6.86;9.24;1.0001;0;0;0;1;0.98677
1670691588073;-9.01485;-2.71116;2.73751;-0.21;-5.67;38.14999;1.00006;0;0;0;1;0.99147
1670691588274;-8.77535;-1.60945;3.93741;-2.87;-14.41999;52.77998;1.00002;0;0;0;1;0.98817
1670691588483;-8.7514;-0.2419;4.01884;-2.94;-11.34;-4.27;1.00003;0;0;1;0;0.9968
1670691588689;-8.80649;-0.23232;3.90867;6.86;2.8;2.03;1.00001;0;0;1;0;0.99828
1670691588894;-8.65321;-0.56762;3.73623;12.53;13.50999;-24.14999;1.00003;0;0;1;0;0.99589
1670691589094;-9.12742;-1.44659;3.13269;3.57;7.84;-37.72998;1.00007;0;0;1;0;0.99201
1670691589293;-8.88792;-2.29682;3.30752;-9.66;-1.33;-25.89999;1.00006;0;0;1;0;0.99042
1670691589504;-8.07122;-3.47996;3.22849;-2.52;10.01;-9.94;1.0001;0;0;1;0;0.9887
1670691589696;-8.80888;-2.42855;1.78189;2.8;14.35;23.72999;1.00015;0;0;1;0;0.95428
1670691589896;-9.11305;-2.54351;1.54;-0.84;5.25;12.80999;1.0002;0;0;1;0;0.91913
1670691590108;-9.01006;-2.53393;2.01182;3.57;-9.8;-8.33;1.00018;0;0;0;1;0.95783
1670691590312;-8.9454;-2.95306;2.41178;7.21;-2.03;-5.81;1.00017;0;0;0;1;0.99393
1670691590514;-8.67716;-3.03209;2.39262;-18.40999;1.05;-9.45;1.00014;0;0;0;1;0.99027
1670691590715;-8.74182;-3.87035;2.31838;-2.31;-23.58999;-6.16;1.00014;0;0;0;1;0.95029
1670691590918;-8.61968;-3.63564;2.43573;-0.14;1.96;11.89999;1.00009;0;0;0;1;0.99679
1670691591119;-8.95737;-3.23807;2.54112;7.63;-11.27;52.35998;1.00003;0;0;0;1;0.96925
1670691591320;-9.01006;-0.39278;3.16143;5.6;-14.97999;51.58998;1.00002;0;0;0;1;0.99297
1670691591522;-8.91426;-0.35446;3.79371;-2.03;-7.63;1.33;1.0;0;0;0;1;0.99808
1670691591726;-8.87594;-0.03114;3.71468;0.84;-1.05;3.29;1.00001;0;0;1;0;0.99737
1670691591931;-8.8496;0.16526;3.65241;0.98;3.57;0.56;1.00002;0;0;1;0;0.99594
1670691592131;-8.52148;-0.23711;4.01405;2.31;8.05;-37.93999;1.00002;0;0;1;0;0.9941
1670691592333;-8.55501;-2.28724;3.84401;3.36;13.92999;-32.96999;1.00005;0;0;1;0;0.99392
1670691592536;-8.56219;-3.43925;3.2692;-4.48;13.01999;-31.00999;1.00009;0;0;1;0;0.98144
1670691592734;-8.22689;-3.86317;2.75188;-4.76;10.5;-6.44;1.00012;0;0;1;0;0.95499
1670691592936;-8.95498;-3.54463;1.8753;-11.83;48.57998;5.46;1.00008;0;0;1;0;0.92881
1670691593139;-9.01964;-3.30992;1.29571;-1.96;-10.01;4.27;1.00013;0;0;1;0;0.19127
1670691593339;-8.96456;-3.19256;1.60706;1.19;0;-1.54;1.00012;0;0;0;1;0.98482
1670691593546;-8.98132;-3.17819;1.65017;3.64;5.04;0.35;1.00012;0;0;0;1;0.97451
1670691593744;-8.91187;-3.19017;1.7795;3.71;-9.31;1.89;1.00016;0;0;0;1;0.96531
1670691593944;-8.93103;-3.61887;1.61903;4.41;11.34;-24.42999;1.00014;0;0;0;1;0.99054
1670691594147;-8.61968;-3.63564;2.76385;-2.94;-15.12;5.46;1.00013;0;0;0;1;0.94639
1670691594350;-8.90708;-2.95306;2.47645;1.54;5.6;26.45999;1.00007;0;0;0;1;0.99377
1670691594552;-8.87594;-1.46575;3.07281;-4.41;-20.50999;67.12997;1.00005;0;0;0;1;0.9668
1670691594756;-8.98132;0.06467;3.2692;1.26;-7.84;14.90999;1.0;0;0;0;1;0.99678
1670691594968;-8.98132;-0.12454;3.52547;-1.96;-7.56;2.8;0.99998;0;0;1;0;0.9972
1670691595171;-8.89031;0.03593;3.60211;-1.68;2.94;1.68;0.99997;0;0;1;0;0.99719
1670691595374;-9.12742;-0.73288;3.10395;4.2;5.95;-38.35999;0.99999;0;0;1;0;0.99327
1670691595582;-8.68434;-2.213;3.64761;-8.47;5.32;-35.13999;1.00003;0;0;1;0;0.99343
1670691595778;-8.73224;-3.29315;3.01293;-7.63;4.41;-23.93999;1.00007;0;0;1;0;0.9842
1670691595979;-8.47837;-3.30513;2.92911;-2.52;1.47;-5.67;1.00008;0;0;1;0;0.9729
1670691596180;-8.72985;-3.53505;2.72553;-8.61;28.34999;12.80999;1.00007;0;0;1;0;0.97836
1670691596383;-8.943;-3.25962;1.70525;-14.55999;10.85;2.17;1.00011;0;0;1;0;0.69612
1670691596583;-8.96935;-3.32668;1.47054;-1.05;-6.86;-1.47;1.00009;0;0;1;0;0.86413
1670691596796;-8.95258;-3.33147;1.48252;0.49;6.86;0.14;1.00012;0;0;0;1;0.98287
1670691596997;-8.93103;-3.16143;1.50407;-0.21;0.28;2.45;1.00016;0;0;0;1;0.94639
1670691597199;-9.06994;-3.21412;1.32445;4.41;-6.16;2.66;1.00018;0;0;0;1;0.96945
1670691597402;-8.7035;-2.92192;1.50886;2.31;-9.17;0.84;1.00016;0;0;0;1;0.9855
1670691597616;-8.82086;-3.67875;1.53281;7.84;-22.95999;-12.18;1.00017;0;0;0;1;0.98836
1670691597805;-8.65081;-3.90388;2.31359;1.75;-5.6;8.89;1.00014;0;0;0;1;0.99738
1670691598006;-8.97174;-3.10874;2.22258;4.69;-7.91;30.44999;1.00006;0;0;0;1;0.98431
1670691598208;-8.95977;-1.12087;3.05125;-9.03;-25.61999;62.50998;1.00007;0;0;0;1;0.98981
1670691598408;-8.87834;-0.89095;3.86077;-4.41;-7.98;7.7;1.00004;0;0;0;1;0.99779
1670691598614;-9.14658;-0.35686;3.21891;1.68;-0.98;-1.05;1.00003;0;0;1;0;0.99657
1670691598811;-8.91187;0.06467;3.40811;2.87;6.51;3.29;1.00001;0;0;1;0;0.99524
1670691599015;-9.17053;-0.65624;2.80936;4.76;8.4;-42.48999;1.00001;0;0;1;0;0.99191
1670691599214;-8.71308;-3.05125;3.4632;6.51;13.09;-41.15998;1.00002;0;0;1;0;0.99145
1670691599414;-8.49274;-3.37937;3.10395;-4.41;3.22;-20.50999;1.00003;0;0;1;0;0.98105
1670691599615;-8.56938;-3.87035;2.48124;-1.19;22.25999;5.32;1.00004;0;0;1;0;0.97728
1670691599819;-8.77535;-3.7985;1.90404;-19.45999;38.49999;10.43;1.00009;0;0;1;0;0.8268
1670691600028;-8.9454;-3.79132;0.58199;1.26;-18.05999;10.57;1.00016;0;0;1;0;0.25423
1670691600238;-8.95258;-3.43685;1.21906;1.96;-5.95;-1.4;1.00016;0;0;0;1;0.9891
1670691600440;-8.90708;-3.365;1.32684;-2.38;2.59;-0.7;1.00013;0;0;0;1;0.98134
1670691600642;-8.94061;-3.45601;1.24541;-0.14;-0.35;3.01;1.00015;0;0;0;1;0.95339
1670691600843;-9.02443;-3.22609;1.65496;9.73;-20.29999;7.63;1.00015;0;0;0;1;0.96486
1670691601048;-8.85439;-3.45122;2.11001;1.54;4.13;-20.22999;1.00015;0;0;0;1;0.99718
1670691601252;-8.40412;-3.95418;2.89797;-7.14;-16.30999;-7.63;1.00011;0;0;0;1;0.97334
1670691601454;-8.42568;-3.64282;2.94348;-2.94;5.74;11.83;1.00008;0;0;0;1;0.99326
1670691601659;-8.96216;-2.68482;2.61297;6.02;-8.89;37.23999;1.00003;0;0;0;1;0.95879
1670691601856;-9.05317;-1.1544;2.77104;5.67;-9.73;48.64998;1;0;0;0;1;0.9931
1670691602057;-8.91187;-0.42631;3.41051;0.7;-9.87;4.48;1.00002;0;0;0;1;0.99564
1670691602258;-8.94779;-0.63947;3.69312;2.17;-4.34;1.89;0.99999;0;0;0;1;0.99763
1670691602462;-8.98611;0.15328;3.44404;0.21;-0.07;0.56;0.99998;0;0;0;1;0.99678
1670691602660;-8.88073;-0.06946;3.64761;-0.21;0.28;-4.34;0.99998;0;0;0;1;0.99532
1670691602861;-8.93342;-0.0982;3.559;-0.14;0;-0.14;1.00002;0;0;0;1;0.9953
1670691603063;-8.92624;-0.15807;3.58055;0.98;0.98;-1.61;1.00003;0;0;0;1;0.9951
1670691603280;-8.92384;-0.21555;3.61648;-0.56;0.35;-1.19;1.00005;0;0;1;0;0.99498
1670691603481;-8.95977;-0.29219;3.58055;-0.21;-0.35;-0.14;1.00007;0;0;1;0;0.99486
1670691603684;-8.95019;-0.1916;3.48954;0.49;3.22;-6.58;1.00006;0;0;1;0;0.99509
1670691603886;-8.71069;-1.35319;3.79132;1.4;-1.82;-32.96999;1.00007;0;0;1;0;0.9937
1670691604089;-8.94779;-2.02619;3.05125;-3.92;5.46;-34.92999;1.00009;0;0;1;0;0.99618
1670691604286;-8.43526;-3.67396;3.6045;-4.55;2.73;-24.49999;1.00011;0;0;1;0;0.98516
