Time;Ax;Ay;Az;Gx;Gy;Gz;BAR;P;R;UP;DOWN;prob
1670524480598;9.44596;1.36277;3.99489;-0.42;0.28;1.05;1;0;0;1;0;0.63016
1670524480795;9.31184;1.62143;3.69552;0.21;0.42;-0.21;1.0;0;0;1;0;0.38956
1670524480994;9.331;1.61424;3.83922;-0.21;-0.49;0;1.00002;0;0;1;0;0.3889
1670524481196;9.31423;1.59987;3.86556;-0.14;0.42;-1.05;1.00001;0;0;1;0;0.41804
1670524481400;9.34776;1.5879;3.85119;-1.05;-0.56;-0.63;1.00002;0;0;1;0;0.40486
1670524481598;9.29507;1.66933;3.87514;-0.84;0.14;-1.12;1.00002;0;0;1;0;0.40895
1670524481807;9.22322;1.63101;3.91825;1.19;1.19;1.19;1.00005;0;0;1;0;0.40961
1670524482007;9.62558;1.40109;4.038;-0.07;7.84;7.77;1.00005;0;0;1;0;0.41527
1670524482205;8.95977;1.69807;4.19847;-2.8;6.51;-43.95998;1.00007;0;0;1;0;0.23031
1670524482403;8.05206;2.35909;3.2716;-2.31;-28.41999;-14.27999;1.00008;0;0;1;0;0.40728
1670524482601;6.75875;2.9339;1.27415;44.86998;-8.82;-12.95;1.0001;0;0;1;0;0.92908
1670524482808;9.89383;5.39598;3.67636;19.73999;-6.79;-21.55999;1.00009;0;0;1;0;0.94279
1670524483003;9.33579;6.95274;1.73639;0.14;-2.1;-4.2;1.00008;0;0;1;0;0.89652
1670524483205;9.63516;5.4798;1.20709;75.24997;-45.42998;-15.53999;1.00012;0;0;1;0;0.55622
1670524483407;9.02683;3.56618;1.11129;-1.4;5.95;1.19;1.0001;0;0;1;0;0.99934
1670524483616;10.79196;4.77327;1.65017;-2.31;-10.5;7.35;1.00006;0;0;1;0;0.15309
1670524483822;9.55613;4.8068;0.73767;5.81;-1.61;-5.67;1.00008;0;0;0;1;0.4131
1670524484026;11.9751;4.63915;1.57832;16.23999;-4.06;1.05;1.00007;0;0;0;1;0.34527
1670524484227;10.17404;3.88472;0.31614;11.83;-2.94;13.3;1.00007;0;0;0;1;0.39912
1670524484431;9.14658;3.57816;0.57241;0.07;-9.1;14.41999;1.0001;0;0;0;1;0.26071
1670524484635;8.49274;2.71356;0.75922;1.54;-8.33;8.61;1.00013;0;0;0;1;0.33293
1670524484835;7.33595;1.84177;-0.41434;-4.48;2.17;7.77;1.00012;0;0;0;1;0.36669
1670524485048;10.17644;2.9818;0.08622;-5.46;-3.43;-0.84;1.00011;0;0;1;0;0.09969
1670524485251;9.48428;2.22737;-0.1437;14.76999;-2.52;1.61;1.00009;0;0;1;0;0.10919
1670524485469;7.7886;3.31471;-0.20118;21.13999;-1.75;-23.02999;1.00005;0;0;1;0;0.22354
1670524485653;8.48555;2.96743;-0.62031;7.28;2.17;-1.82;1.00002;0;0;1;0;0.51686
1670524485854;9.92975;4.60323;-1.25978;-0.21;13.3;0.21;1.0;0;0;1;0;0.15206
1670524486055;9.63277;4.31822;-0.23232;10.08;-1.82;-6.58;1.00003;0;0;1;0;0.02906
1670524486257;10.63389;4.64155;-0.69695;8.05;-1.33;-8.4;1.00003;0;0;1;0;0.2642
1670524486458;9.87946;5.34568;-0.88855;3.99;-0.35;-15.12;1.00001;0;0;1;0;0.16209
1670524486661;8.86876;5.25228;-0.71132;-19.59999;7.84;5.81;1.00001;0;0;0;1;0.17804
1670524486860;10.54288;5.0511;-1.22146;-17.77999;-8.82;20.43999;1.00003;0;0;0;1;0.03731
