Time;Ax;Ay;Az;Gx;Gy;Gz;BAR;P;R;UP;DOWN;prob
1670422840246;9.95849;-1.06099;2.16989;-0.42;-0.7;0.63;986.28125;0;0;0;0;1
1670422840343;10.01118;-1.11608;2.34951;-0.28;0.63;1.26;986.2771;0;0;0;0;1
1670422840444;9.97765;-1.09692;2.26808;-1.75;0.14;0.35;986.29321;0;0;0;0;1
1670422840544;9.95131;-1.11129;2.24413;-0.49;-0.98;-0.28;986.33447;0;0;0;0;1
1670422840645;10.02795;-1.07776;2.20581;-0.35;-6.02;-0.56;986.3269;0;0;0;0;1
1670422840759;9.94652;-0.96759;1.97829;-2.66;8.96;2.87;986.32812;0;0;0;0;1
1670422840857;9.93933;-1.01549;2.29922;-4.41;-3.29;0;986.32349;0;0;0;0;1
1670422840958;10.09501;-1.09692;2.09325;-8.82;1.89;0.91;986.30688;0;0;0;0;1
1670422841059;9.98005;-1.18314;2.12199;-1.47;2.03;0.07;986.30566;0;0;0;0;1
1670422841161;9.86748;-0.99154;2.59141;1.4;1.4;-0.35;986.32373;0;0;1;0;1
1670422841261;9.91059;-1.17835;2.4046;1.26;2.45;0.91;986.32324;0;0;1;0;1
1670422841362;9.9537;-1.08734;2.10762;2.66;1.05;0.21;986.323;0;0;1;0;1
1670422841464;10.06148;-0.9628;2.33514;1.12;2.45;-0.21;986.31641;0;0;1;0;1
1670422841567;9.81958;-1.13524;2.16749;0.77;-0.7;-0.28;986.32227;0;0;1;0;1
1670422841667;9.93933;-1.06578;2.29922;-1.61;-0.14;-0.56;986.32617;0;0;1;0;1
1670422841768;9.90341;-1.11368;2.3543;-1.89;-0.49;-0.14;986.32129;0;0;1;0;1
1670422841870;9.96328;-1.17116;2.28006;-2.1;-2.1;-0.35;986.35278;0;0;1;0;1
1670422841967;10.04471;-1.16158;2.23695;-2.59;-1.26;-2.03;986.36548;0;0;1;0;1
1670422842071;10.07585;-1.02028;1.94236;0.35;3.57;0.56;986.37646;0;0;1;0;1
1670422842172;9.45314;-0.70414;0.94843;-4.83;8.54;2.1;986.38574;0;0;1;0;1
1670422842277;5.57561;-0.53888;1.5855;-9.31;35.27999;0.21;986.38037;0;0;1;0;1
1670422842376;6.48571;-0.70893;2.33754;-1.61;45.07998;14.21;986.3916;0;0;1;0;1
1670422842477;7.95147;-1.2023;3.08958;-2.17;52.84998;8.33;986.41528;0;0;1;0;1
1670422842579;8.76577;-1.4442;4.65352;-7.14;43.39999;0.21;986.40552;0;0;1;0;1
1670422842679;9.09868;-2.19623;5.80792;-5.46;30.65999;2.17;986.41992;0;0;1;0;1
1670422842782;8.81846;-1.9711;6.55996;-10.57;29.88999;2.66;986.4209;0;0;1;0;1
1670422842882;9.44835;-2.66566;7.5491;-9.8;16.65999;8.12;986.42554;0;0;1;0;1
1670422842982;9.21843;-2.88121;7.90356;-5.46;6.09;2.66;986.41748;0;0;1;0;1
1670422843083;9.32142;-2.31119;7.13237;-4.83;-4.48;-0.07;986.42554;0;0;1;0;1
1670422843184;8.25084;-2.66326;7.51318;-2.38;9.31;3.36;986.43652;0;0;0;1;1
1670422843285;8.23408;-2.07409;6.43063;1.68;6.72;7.77;986.43237;0;0;0;1;1
1670422843387;7.39822;-2.28485;6.22705;-2.24;2.94;2.1;986.42505;0;0;0;1;1
1670422843488;7.39822;-2.17468;6.10491;-1.89;-4.69;-1.54;986.41089;0;0;0;1;1
1670422843590;7.72394;-2.37107;6.29651;-3.43;-4.13;-1.75;986.41382;0;0;0;1;1
1670422843690;8.77056;-2.62255;6.96951;3.71;-1.89;-0.77;986.41479;0;0;0;1;1
1670422843794;11.28054;-3.08958;9.13221;-8.4;-19.24999;-2.94;986.44678;0;0;0;1;1
1670422843894;10.84225;-2.9818;8.15744;2.66;-15.39999;-8.19;986.45435;0;0;0;1;1
1670422844008;9.72139;-2.44532;6.94316;7.21;-27.64999;-9.03;986.46704;0;0;0;1;1
1670422844095;8.62926;-1.92081;5.47262;8.47;-29.88999;-9.8;986.46924;0;0;0;1;1
1670422844197;7.05333;-1.39869;3.96376;4.06;-31.98999;-6.58;986.46191;0;0;0;1;1
1670422844300;6.38273;-1.26218;2.81654;1.33;-34.71999;-4.83;986.47021;0;0;0;1;1
1670422844400;5.28581;-0.9628;2.03577;-2.59;-39.12999;-12.53;986.47461;0;0;0;1;1
1670422844501;7.05333;-1.36037;1.69088;2.66;-44.86998;-7.07;986.46045;0;0;0;1;1
1670422844603;11.2542;-0.5772;1.6837;2.8;-27.15999;3.5;986.44116;0;0;0;1;1
1670422844705;9.43877;-1.68609;1.76992;-2.1;-7.28;-2.03;986.41821;0;0;1;0;1
1670422844807;10.51174;-1.13524;1.62143;1.33;-4.9;-0.77;986.39844;0;0;1;0;1
1670422844907;9.75252;-1.18314;1.55197;0.42;-3.71;-1.05;986.38306;0;0;1;0;1
1670422845011;10.15009;-0.92687;1.33163;-0.56;3.64;0.56;986.37354;0;0;1;0;1
1670422845109;10.43031;-1.47773;1.67891;-4.13;20.15999;5.67;986.38574;0;0;1;0;1
1670422845210;9.98723;-1.42025;2.33514;5.6;34.57999;8.96;986.38794;0;0;1;0;1
1670422845312;7.84129;-1.13763;1.94715;4.97;21.20999;3.57;986.38916;0;0;1;0;1
1670422845412;6.96472;-0.74485;2.42136;0.91;19.03999;4.76;986.39062;0;0;1;0;1
1670422845514;6.27974;-1.24781;2.59141;-0.7;36.39999;6.93;986.40747;0;0;1;0;1
1670422845615;8.41131;-1.1999;3.59492;-5.18;36.46999;8.61;986.41919;0;0;1;0;1
1670422845717;8.50232;-2.07888;4.58646;-5.39;31.77999;4.9;986.40332;0;0;1;0;1
1670422845819;9.01725;-1.95434;6.16478;-5.74;26.38999;3.43;986.40625;0;0;1;0;1
1670422845928;8.35143;-2.03098;5.94683;-0.98;23.23999;5.74;986.40454;0;0;1;0;1
1670422846016;9.15376;-2.26808;6.92879;-8.75;9.52;4.97;986.4104;0;0;1;0;1
1670422846121;9.05078;-2.44771;7.04854;-8.68;23.23999;5.04;986.43042;0;0;1;0;1
1670422846223;9.07952;-2.79738;7.07728;-6.37;7.98;1.4;986.45142;0;0;1;0;1
1670422846323;8.75859;-3.07521;7.61616;-5.18;10.15;4.48;986.46924;0;0;1;0;1
1670422846427;8.17181;-3.00814;7.15392;-1.75;3.5;2.38;986.46313;0;0;0;1;1
1670422846526;7.4078;-2.96024;6.75635;-1.54;4.48;2.52;986.46997;0;0;0;1;1
1670422846627;7.2138;-2.67763;6.33962;-4.41;0.21;1.75;986.47705;0;0;0;1;1
1670422846728;7.46049;-2.80936;6.66534;2.66;-10.57;-2.94;986.45898;0;0;0;1;1
1670422846828;8.52148;-2.85007;7.00543;3.99;-11.2;-1.47;986.46289;0;0;0;1;1
1670422846931;9.62798;-3.10874;7.25451;5.6;-10.01;0.7;986.46045;0;0;0;1;1
1670422847031;9.4747;-3.30752;7.49641;-2.31;-8.75;0.77;986.46509;0;0;0;1;1
1670422847132;9.20646;-3.11353;7.15632;2.31;-16.02999;-1.4;986.45459;0;0;0;1;1
1670422847234;9.38608;-2.85247;6.52882;4.41;-25.40999;-6.44;986.43945;0;0;0;1;1
1670422847334;9.45314;-2.12199;5.42951;5.67;-31.14999;-11.69;986.43433;0;0;0;1;1
1670422847437;8.27479;-1.86812;4.69424;2.1;-33.45999;-13.92999;986.43506;0;0;0;1;1
1670422847537;7.85327;-1.82021;4.53617;-4.9;-33.52999;-7.14;986.45557;0;0;0;1;1
1670422847639;4.92416;-0.65384;2.8357;8.89;-41.92999;-16.16999;986.4519;0;0;0;1;1
1670422847735;4.16254;-0.92208;-0.28022;12.25;-26.80999;-8.26;986.42603;0;0;0;1;1
1670422847841;12.58822;-1.10171;1.26936;-7.77;-12.18;17.07999;986.43726;0;0;0;1;1
1670422847943;9.02443;-1.83938;2.69919;14.27999;11.62;-15.53999;986.42993;0;0;1;0;1
1670422848048;10.09501;-1.12566;3.86077;3.57;6.93;-0.63;986.43237;0;0;1;0;1
1670422848146;9.12742;-1.36037;3.66677;33.52999;7.63;-4.55;986.47021;0;0;1;0;1
1670422848246;9.71899;-0.5772;2.87402;20.22999;7.28;2.8;986.51318;0;0;1;0;1
1670422848347;9.25196;0.05509;2.68721;9.94;-0.07;-2.45;986.55664;0;0;1;0;1
1670422848449;9.81;-0.35207;3.73384;-25.33999;1.05;11.2;986.56226;0;0;1;0;1
1670422848552;10.09501;-0.13173;1.50407;20.85999;14.55999;8.82;986.55493;0;0;1;0;1
1670422848652;9.7597;-1.41067;4.30625;-16.09999;-10.64;-10.85;986.54492;0;0;1;0;1
1670422848752;9.09868;-1.50168;4.13859;-0.91;-19.17999;-6.09;986.54199;0;0;1;0;1
1670422848855;9.62558;-0.93166;2.80696;-1.54;1.47;1.33;986.52051;0;0;1;0;1
1670422848958;9.75492;-0.79515;3.81527;-0.21;1.05;6.16;986.53784;0;0;1;0;1
1670422849058;9.99681;-0.75683;3.67875;2.03;-3.78;1.4;986.5293;0;0;1;0;1
1670422849161;10.39918;-0.63468;2.70877;47.59998;-4.34;-3.29;986.53027;0;0;1;0;1
1670422849262;9.87946;-0.96998;2.59381;12.18;-6.44;-6.37;986.52051;0;0;1;0;1
1670422849362;9.5705;-1.12087;2.92192;-26.03999;4.76;-4.48;986.51147;0;0;1;0;1
1670422849464;9.6663;-0.92927;3.37937;-9.87;5.74;2.31;986.46729;0;0;1;0;1
1670422849568;9.56092;-0.78557;3.21651;-4.97;6.3;1.68;986.42627;0;0;1;0;1
1670422849668;9.70462;-0.88376;3.4632;-5.95;-1.75;2.31;986.42383;0;0;1;0;1
1670422849768;9.70462;-0.99872;3.02251;0.84;1.19;2.52;986.41016;0;0;1;0;1
1670422849868;9.9537;-1.33403;3.05605;16.16999;4.48;4.34;986.41406;0;0;1;0;1
1670422849971;9.80521;-0.4311;3.50631;37.02999;-1.68;6.16;986.45142;0;0;1;0;1
1670422850074;9.94173;-0.40236;2.90516;13.64999;7.63;-2.87;986.47729;0;0;1;0;1
1670422850175;9.5681;-0.51972;2.15073;-23.16999;6.37;-4.34;986.49097;0;0;1;0;1
1670422850275;9.97286;-1.08015;4.06914;-0.35;-10.92;-1.68;986.45898;0;0;1;0;1
1670422850377;9.54415;-0.74006;3.20933;-18.05999;-8.82;-1.33;986.44531;0;0;1;0;1
1670422850478;9.80521;-1.15679;3.27639;-29.81999;-13.09;2.87;986.41602;0;0;1;0;1
1670422850579;10.20518;-1.52802;2.56507;-3.5;8.19;5.39;986.38696;0;0;1;0;1
1670422850681;9.44596;-1.13045;3.02012;-16.51999;7.7;0.77;986.35913;0;0;1;0;1
1670422850782;9.33579;-1.25978;2.87881;-15.04999;-15.53999;-6.65;986.35889;0;0;1;0;1
1670422850882;10.26984;-1.3939;2.43334;-9.45;-7.7;-0.42;986.34546;0;0;1;0;1
1670422850977;9.75252;-1.46575;3.03209;17.70999;19.80999;0.49;986.32666;0;0;1;0;1
1670422851087;9.84353;-1.152;3.08239;25.19999;13.44;3.92;986.35229;0;0;1;0;1
1670422851184;9.55134;-1.23104;3.13748;10.01;12.80999;2.17;986.35156;0;0;1;0;1
1670422851291;9.60642;-1.22386;3.24046;7.14;5.53;4.2;986.36353;0;0;1;0;1
1670422851394;9.5681;-1.13045;3.91586;-10.36;31.84999;5.04;986.39624;0;0;1;0;1
1670422851495;8.95498;-1.27415;4.02363;-1.96;-15.39999;-2.8;986.37915;0;0;1;0;1
1670422851596;9.93933;-0.97477;3.39614;0.56;-23.72999;-4.9;986.37085;0;0;1;0;1
1670422851696;9.20885;-1.33882;3.75539;-21.83999;-8.82;-1.12;986.36963;0;0;1;0;1
1670422851798;10.32253;-1.13763;2.15073;-17.98999;-24.07999;-2.31;986.35522;0;0;1;0;1
1670422851899;9.48428;-0.5748;2.13157;-15.81999;7.63;-1.12;986.34839;0;0;1;0;1
1670422852001;9.33579;-1.06578;2.23934;-8.82;12.6;6.72;986.34033;0;0;1;0;1
1670422852101;9.45554;-1.42504;3.63803;32.26999;35.20999;0.98;986.35254;0;0;1;0;1
1670422852204;8.8017;-2.48124;4.12422;27.92999;-0.35;-1.47;986.39893;0;0;1;0;1
1670422852304;9.86269;-1.32684;5.15887;61.24997;-5.32;6.02;986.43481;0;0;1;0;1
1670422852406;9.07952;-0.85742;2.68961;15.81999;8.05;11.41;986.47144;0;0;1;0;1
1670422852502;10.74645;-0.88616;2.91953;23.79999;2.73;10.29;986.4729;0;0;1;0;1
1670422852607;9.89862;-0.75204;5.17803;-8.4;7.77;2.38;986.47925;0;0;1;0;1
1670422852708;8.82086;-0.64426;3.62127;-20.64999;62.92997;0.56;986.48169;0;0;1;0;1
1670422852811;8.10475;-1.73878;4.65831;-24.28999;22.32999;-3.29;986.47461;0;0;1;0;1
1670422852910;8.99569;-1.16398;3.81527;49.34998;3.43;1.75;986.47119;0;0;1;0;1
1670422853012;9.77647;-2.32317;4.93853;56.34998;13.50999;6.51;986.50562;0;0;1;0;1
1670422853113;8.14546;-0.29938;4.84033;29.39999;44.86998;9.66;986.52173;0;0;1;0;1
1670422853215;8.54304;-1.78668;2.82133;3.5;40.66999;-13.09;986.50562;0;0;1;0;1
1670422853317;7.01262;-0.59875;8.04727;-52.98998;-66.21998;-21.69999;986.46729;0;0;1;0;1
1670422853417;8.73224;-1.36277;1.85614;-42.20998;-158.96994;-8.12;986.42017;0;0;1;0;1
1670422853519;9.4268;-1.49689;5.9636;-25.47999;42.55999;1.05;986.40063;0;0;1;0;1
1670422853619;10.5309;-1.3005;5.37682;139.99994;104.01997;27.50999;986.41016;0;0;1;0;1
1670422853721;7.791;0.49816;1.08973;116.54995;57.88998;1.82;986.45361;0;0;1;0;1
1670422853817;7.81974;-0.41913;3.9446;-106.74996;-63.06997;-10.43;986.5022;0;0;1;0;1
1670422853924;11.5416;3.27639;3.57816;-35.76999;-81.12997;3.29;986.48779;0;0;1;0;1
1670422854022;8.94061;-2.67045;3.54223;-35.55999;-16.93999;-27.99999;986.45532;0;0;1;0;1
1670422854124;9.50104;-2.25371;1.64298;-17.42999;-10.85;-12.18;986.43604;0;0;1;0;1
1670422854226;10.22194;-5.38161;3.97334;46.40998;-15.25999;4.9;986.45825;0;0;1;0;1
1670422854335;9.37171;-0.98675;2.40699;92.88996;7.14;16.72999;986.46387;0;0;1;0;1
1670422854434;10.34409;-0.6275;5.02954;38.00999;60.40998;25.75999;986.45825;0;0;1;0;1
1670422854535;7.86045;0.96519;3.90388;43.67999;62.99998;7.28;986.4292;0;0;1;0;1
1670422854634;9.24238;-0.74006;1.40348;-44.37999;-91.69997;-29.25999;986.35938;0;0;1;0;1
1670422854735;10.58359;-1.23583;2.69919;0.84;-85.81997;-20.92999;986.34302;0;0;1;0;1
1670422854837;8.56459;-0.3353;2.37346;-2.31;-55.57998;-2.73;986.32959;0;0;1;0;1
1670422854937;11.18235;-0.50774;0.89813;11.13;3.57;8.26;986.31934;0;0;1;0;1
1670422855038;9.7142;-1.59987;2.85486;25.47999;48.08998;2.59;986.35596;0;0;1;0;1
1670422855139;9.09628;-0.91011;3.56379;5.04;31.70999;10.15;986.37231;0;0;1;0;1
1670422855242;11.02667;-0.673;2.47406;-174.01994;-15.32999;17.63999;986.32471;0;0;1;0;1
1670422855345;9.75012;-1.46815;1.7771;-4.76;3.15;-14.21;986.27808;0;0;1;0;1
1670422855439;9.80761;-2.14833;2.74709;63.06997;-19.73999;-15.18999;986.28271;0;0;1;0;1
1670422855546;10.28421;-2.34712;3.23567;10.78;18.89999;0.84;986.29517;0;0;1;0;1
