Time;Ax;Ay;Az;Gx;Gy;Gz;BAR;P;R;UP;DOWN;prob
1670437122448;10.06627;1.50886;1.24541;2.17;-0.49;-0.21;987.03564;0;0;0;0;0.1465
1670437122649;10.08303;1.43941;1.16637;0.56;0.91;0.07;987.02734;0;0;0;0;0.11599
1670437122849;10.02076;1.54958;1.24781;-0.42;0.63;0.14;987.04272;0;0;0;0;0.12293
1670437123050;10.00639;1.61424;1.24302;-0.91;-0.56;0.28;987.04761;0;0;0;0;0.13452
1670437123253;10.01358;1.63101;1.26218;1.61;0.7;-0.84;987.05542;0;0;0;0;0.13633
1670437123456;10.03753;1.57832;1.31008;0.21;-0.84;-0.14;987.03125;0;0;0;0;0.14552
1670437123660;10.02316;1.55916;1.23344;1.4;0.42;-1.19;987.02466;0;0;0;0;0.13346
1670437123862;9.98963;1.60945;1.30529;0.35;0.35;-0.56;987.01416;0;0;0;0;0.1356
1670437124065;9.9537;1.67651;1.2502;-0.35;-0.35;0;987.00366;0;0;0;0;0.13982
1670437124264;9.97765;1.7292;1.22625;-0.07;-0.28;0.56;987.03149;0;0;0;0;0.14063
1670437124495;9.92257;1.79147;1.41785;1.61;0.84;-0.07;987.02026;0;0;1;0;0.15413
1670437124700;10.004;1.79626;1.28852;0.91;1.26;0.28;987.00024;0;0;1;0;0.13433
1670437124899;9.64474;1.68609;1.43462;-15.25999;3.57;0.91;987.00439;0;0;1;0;0.06161
1670437125103;7.28804;0.47182;1.20948;-8.19;3.92;0.7;987.02563;0;0;1;0;0.11768
1670437125305;7.91793;1.41306;2.15073;-17.91999;20.57999;-2.38;987.0105;0;0;1;0;0.02778
1670437125503;10.71771;1.75555;3.14466;-24.91999;3.43;19.80999;987.01709;0;0;1;0;0.07283
1670437125707;11.2997;1.63101;3.74342;0.07;14.7;-5.46;987.0481;0;0;1;0;0.07887
1670437125905;10.90931;2.27766;3.95178;9.87;-10.01;-6.16;987.04639;0;0;1;0;0.66267
1670437126107;10.4375;2.19623;3.05844;4.55;-0.91;5.11;987.06519;0;0;1;0;0.35092
1670437126312;10.27224;2.7423;3.09676;11.06;-7.98;4.97;987.07568;0;0;0;1;0.63932
1670437126513;12.20741;2.16749;3.33626;-7.14;-7.84;3.57;987.09106;0;0;0;1;0.25441
1670437126716;10.88776;1.9256;2.77583;5.25;-5.53;3.15;987.07642;0;0;0;1;0.36765
1670437126914;9.33339;0.95801;2.02858;-13.50999;-6.58;8.47;987.07373;0;0;0;1;0.19171
