Time;Ax;Ay;Az;Gx;Gy;Gz;BAR;P;R;UP;DOWN;prob
1670437546506;9.87227;2.3064;0.10299;2.87;0.56;2.66;986.98218;0;0;0;0;0.11085
1670437546706;9.96328;2.55549;0.24669;2.52;0.84;-0.91;987.00977;0;0;0;0;0.11371
1670437546907;9.92257;2.32317;0.13173;-2.1;-3.08;0.28;987.02393;0;0;0;0;0.11651
1670437547108;9.94173;2.33514;0.10299;0.14;-0.21;2.24;987.04297;0;0;0;0;0.10234
1670437547309;10.0519;2.2106;0.11017;12.04;0.63;4.13;987.0647;0;0;0;0;0.15558
1670437547510;10.08782;2.07888;0.02156;6.51;-1.19;-0.7;987.03589;0;0;0;0;0.12546
1670437547714;9.98484;2.18426;0.18921;3.01;-2.45;-0.49;987.04272;0;0;1;0;0.13482
1670437547914;9.88425;2.34233;-0.08143;0.7;1.05;-1.33;987.06494;0;0;1;0;0.08643
1670437548120;8.69632;2.18665;-0.20837;3.71;-2.8;2.1;987.08105;0;0;1;0;0.17937
1670437548316;7.22577;2.23695;-0.45505;13.58;-0.77;-25.68999;987.05786;0;0;1;0;0.25819
1670437548519;9.89622;2.64889;0.36404;-5.6;2.87;3.43;987.03809;0;0;1;0;0.0754
1670437548721;10.93087;2.40699;1.06099;-23.58999;-0.14;-13.64999;987.03442;0;0;1;0;0.03294
1670437548922;11.79547;3.28357;0.40715;18.40999;-2.45;4.48;987.02368;0;0;1;0;0.22115
1670437549123;10.60275;4.13859;0.20118;15.95999;5.74;-3.99;987.02881;0;0;1;0;0.15835
1670437549329;11.08176;4.22002;-0.19639;2.52;0.07;1.96;987.02783;0;0;0;1;0.10659
1670437549525;11.23264;4.15057;-0.70174;1.61;-0.91;-4.97;987.02563;0;0;0;1;0.07844
1670437549726;9.64953;4.24397;-0.36883;9.8;-4.34;-0.84;987.06885;0;0;0;1;0.27517
1670437549927;9.22801;3.29315;-0.28501;8.54;2.03;6.65;987.09473;0;0;0;1;0.16753
1670437550128;7.58982;2.67524;-0.17484;-5.81;-1.89;6.65;987.12305;0;0;0;1;0.17895
1670437550330;7.76226;2.90995;-0.52211;-4.41;1.61;-0.42;987.15674;0;0;0;1;0.1191
1670437550532;9.81;3.0297;-0.27303;1.89;1.19;3.85;987.17041;0;0;0;1;0.10403
1670437550734;9.63756;4.0859;-0.85023;-6.23;-3.15;4.13;987.16553;0;0;1;0;0.10712
1670437550938;9.86509;3.12311;-0.36404;-1.68;-2.38;0.56;987.13184;0;0;1;0;0.11099
1670437551139;9.36213;3.19496;-0.51014;-3.29;-3.36;1.4;987.14551;0;0;1;0;0.12491
1670437551340;8.08798;3.1255;-0.91011;1.33;-7.84;-5.95;987.13208;0;0;1;0;0.24061
1670437551542;7.03417;2.93629;-1.14961;2.1;-3.43;0.07;987.07666;0;0;1;0;0.22095
1670437551743;9.19927;3.53026;-1.09692;-7.49;11.97;0.49;987.04004;0;0;1;0;0.02411
1670437551947;11.38832;4.83554;0.24429;-7.07;-3.85;-1.12;987.03247;0;0;1;0;0.11751
1670437552145;9.53218;4.83315;-0.18442;-3.57;-4.48;-14.7;987.07373;0;0;1;0;0.18584
1670437552346;10.30816;4.96967;-0.53409;-4.69;4.83;-6.86;987.0603;0;0;1;0;0.06248
