Time;Ax;Ay;Az;Gx;Gy;Gz;BAR;P;R;Mag;UP;DOWN;prob
0;9.96568;1.54;-1.07536;0.21;-0.14;-0.91;994.81836;0;0;0;0;0;0.06182
1;9.99921;1.50168;-1.31966;1.96;0.21;-0.28;994.82104;0;0;0;0;0;0.05775
2;9.93694;1.59748;-1.21188;1.19;3.85;0.91;994.82178;0;0;0;0;0;0.05835
3;10.02316;1.64059;-1.12805;-1.05;2.87;-4.97;994.82007;0;0;0;0;0;0.06276
4;10.06627;1.67651;-1.10889;0.14;2.73;-2.03;994.81763;0;0;0;0;0;0.06619
5;10.17883;1.81063;-0.98914;-2.66;2.8;-5.39;994.81006;0;0;0;0;0;0.07538
6;9.92257;1.80824;-1.0562;0;-5.32;-2.17;994.77954;0;0;0;1;0;0.05565
7;10.12135;1.67891;-1.17356;-0.14;-4.34;0.98;994.76294;0;0;0;0;0;0.06708
8;9.63037;1.89207;-1.2526;3.5;-4.97;1.54;994.74829;0;0;0;0;0;0.03884
9;9.70702;2.00224;-1.42264;7.35;1.26;4.62;994.74976;0;0;0;0;0;0.03935
10;9.2352;1.69567;-1.36995;6.65;8.47;3.15;994.75146;0;0;0;0;0;0.02793
11;8.21731;1.26936;-1.29331;11.13;14.76999;5.46;994.76709;0;0;0;0;0;0.01171
12;7.29044;0.90771;-0.93885;12.67;15.12;-0.28;994.78833;0;0;0;0;0;0.00546
13;7.57066;1.35079;-0.98675;5.74;18.68999;-4.9;994.7998;0;0;0;0;0;0.00696
14;9.21364;1.27655;0.48858;5.53;34.29999;6.23;994.82397;0;0;0;0;0;0.07158
15;10.1477;1.18074;0.82389;4.62;22.74999;12.6;994.83594;0;0;0;0;0;0.18069
16;10.41594;1.3484;0.9149;3.15;28.48999;9.73;994.85205;0;0;0;0;0;0.22915
17;10.31295;0.7712;1.4921;10.71;25.75999;5.32;994.86743;0;0;0;0;0;0.24304
18;10.41833;0.39518;2.04774;4.41;24.84999;8.4;994.85376;0;0;0;0;0;0.33949
19;10.50935;1.09692;2.72553;2.31;28.41999;3.5;994.84253;0;0;0;0;0;0.40123
20;11.61106;0.73048;3.19256;2.1;21.97999;5.46;994.83203;0;0;0;0;0;0.70873
21;11.94875;1.29331;2.65368;-10.22;14.41999;14.7;994.83813;0;0;0;0;0;0.74819
22;11.70207;1.1065;3.38895;25.54999;-1.68;-2.1;994.84619;0;0;0;0;0;0.63137
23;11.8314;0.88855;3.78653;-3.5;12.18;-4.9;994.84619;0;0;0;0;1;0.7738
24;12.71276;1.19751;4.48108;-1.89;7.49;-2.1;994.84351;0;0;0;0;0;0.90899
25;12.56427;1.52563;5.0487;2.87;-6.37;-0.35;994.8418;0;0;0;0;0;0.90209
26;11.88648;1.23583;4.15775;6.72;-23.02999;-2.17;994.86987;0;0;0;0;0;0.74715
27;11.14882;0.97238;3.365;1.89;-27.85999;-12.18;994.91577;0;0;0;0;0;0.50437
28;10.63868;1.43701;2.84049;2.24;-31.63999;-12.39;994.97485;0;0;0;0;0;0.31338
29;9.88185;1.39151;2.10043;-0.77;-41.71998;-10.99;994.98926;0;0;0;0;0;0.13847
30;7.84369;1.2526;0.68258;-0.49;-52.21998;-14.49;995.02051;0;0;0;0;0;0.01146
31;6.07377;0.98435;0.59875;0;-47.17998;-12.25;995.03931;0;0;0;0;0;0.00218
32;6.42344;1.13524;-0.58199;-3.01;-42.41998;-10.29;995.08008;0;0;0;0;0;0.00201
33;8.34425;1.75794;-1.85854;-3.22;-30.58999;-8.82;995.05322;0;0;0;0;0;0.00768
34;9.15856;2.02619;-1.95194;-1.82;-23.65999;-6.44;995.03955;0;0;0;0;0;0.01632
35;8.37538;2.45969;-2.69679;3.64;-26.31999;-4.69;995.05176;0;0;0;0;0;0.00506
36;9.25436;2.64171;-3.50391;-0.98;-16.58999;0.42;995;0;0;0;1;0;0.0097
37;9.49625;2.90755;-3.66198;-0.91;1.26;12.25;994.96631;0;0;0;0;0;0.01367
38;8.81846;2.71116;-2.61297;2.59;11.69;8.61;994.94458;0;0;0;0;0;0.0111
39;8.38975;2.73272;-2.91474;6.23;15.32999;0.77;994.91187;0;0;0;0;0;0.00595
40;5.59237;1.72202;-1.23104;14.0;21.76999;7.91;994.88477;0;0;0;0;0;0.00092
41;5.22354;1.11129;-0.46224;15.39999;12.18;15.53999;994.86719;0;0;0;0;0;0.00095
42;7.8868;1.42743;-1.14961;14.21;34.64999;23.16999;994.83276;0;0;0;0;0;0.01126
43;10.71053;0.38081;-0.23232;-1.61;67.68997;15.18999;994.7937;0;0;0;0;0;0.28569
44;12.43734;0.21316;-0.0024;9.03;44.58998;14.7;994.75488;0;0;0;0;0;0.64898
45;12.38944;0.54846;0.99633;8.61;31.70999;9.03;994.73169;0;0;0;0;0;0.69028
46;11.04583;0.56522;1.825;-0.7;8.4;-1.75;994.70996;0;0;0;0;0;0.42441
47;11.37634;1.07057;1.5879;0.56;3.01;7.49;994.69214;0;0;0;0;0;0.47118
48;11.97031;0.27543;1.76513;4.97;12.53;5.25;994.67993;0;0;0;0;0;0.6535
49;11.65177;0.78317;1.38193;-11.62;15.46999;6.93;994.70996;0;0;0;0;0;0.57725
