Time,Ax,Ay,Az,Gx,Gy,Gz,BAR,P,R,UP,DOWN,prob
1671383575009,9.8962,2.4262,1.9663,0.8400,0.0700,7.5600,1.0000,0.0000,0.0000,0,0,0.21
1671383575149,9.6040,2.1962,2.0382,-5.3900,-0.9100,-5.1800,1.0000,0.0000,0.0000,0,0,0.21
1671383575289,9.0364,2.6968,1.6478,-8.5400,-10.5700,-5.5300,1.0000,0.0000,0.0000,0,0,0.38
1671383575427,9.7190,2.7471,2.3112,9.0300,13.6500,4.7600,1.0001,0.0000,0.0000,0,0,0.15
1671383575566,9.8196,2.3256,2.5962,1.1900,-1.1900,-1.1200,1.0001,0.0000,0.0000,0,0,0.31
1671383575697,9.4579,2.2872,2.3016,0.5600,3.6400,-0.9100,1.0001,0.0000,0.0000,0,0,0.22
1671383575829,9.7621,2.3543,2.1843,-2.1000,5.0400,5.6700,1.0001,0.0000,0.0000,0,0,0.15
1671383575960,9.2089,2.2058,2.1603,-7.2800,0.6300,-5.9500,1.0001,0.0000,0.0000,0,0,0.20
1671383576089,9.7429,3.1806,3.4464,11.7600,7.5600,-3.9200,1.0002,0.0000,0.0000,0,0,0.42
1671383576220,9.4412,2.1364,2.6225,-2.4500,-4.1300,3.0100,1.0002,0.0000,0.0000,0,0,0.35
1671383576347,9.5442,2.5746,2.7183,-0.0700,0.6300,2.1700,1.0001,0.0000,0.0000,0,0,0.31
1671383576474,9.5873,2.2609,2.7686,2.1000,2.9400,0.4900,1.0002,0.0000,0.0000,0,0,0.27
1671383576589,9.6088,2.3926,2.8405,6.1600,2.0300,-1.2600,1.0002,0.0000,0.0000,1,0,0.35
1671383576717,9.6519,2.2417,2.6178,1.1900,-0.2800,-1.7500,1.0002,0.0000,0.0000,0,0,0.31
1671383576846,9.8316,2.5291,1.9376,0.0000,-1.8900,3.2200,1.0002,0.0000,0.0000,0,0,0.25
1671383576971,8.5215,1.8897,1.1664,-14.2100,19.9500,-5.8800,1.0002,0.0000,0.0000,0,0,0.02
1671383577096,5.6978,1.0466,2.8022,-8.5400,19.0400,-12.6000,1.0002,0.0000,0.0000,0,0,0.14
1671383577232,5.5588,2.4741,3.5063,2.8700,13.5100,-17.5000,1.0002,0.0000,0.0000,0,0,0.52
1671383577355,8.9214,2.9123,4.8619,-3.2900,47.6700,10.7800,1.0002,0.0000,0.0000,0,0,0.02
1671383577475,9.9321,3.9446,6.3109,12.0400,22.8200,-4.2000,1.0002,0.0000,0.0000,0,0,0.46
1671383577587,8.8592,2.9722,5.4247,0.9100,4.4800,8.2600,1.0002,0.0000,0.0000,0,0,0.62
1671383577702,9.3070,2.8261,5.8199,-11.2700,15.0500,14.8400,1.0002,0.0000,0.0000,0,0,0.24
