Ax,Ay,Az,Gx,Gy,Gz,mov
9.1154,1.6861,4.4428,0.21,2.17,-0.63,falling
9.0436,1.6693,4.3541,1.47,2.59,-0.28,falling
9.0125,1.6837,4.3062,0.56,-2.17,0.98,falling
9.0292,1.7364,4.3398,-3.36,-0.35,0.98,falling
9.0891,1.6358,4.4547,3.78,-3.01,0.77,falling
9.0963,1.631,4.1817,0.98,1.33,-0.42,falling
9.0939,1.7555,4.3518,0.07,1.89,0.49,falling
9.0053,1.6238,4.7829,-0.35,-0.84,0.63,falling
9.1083,1.655,4.3805,0.63,-0.07,0.42,falling
9.058,1.6574,4.3326,0.28,0.35,0.21,falling
9.0628,1.6214,4.3733,-0.63,-2.52,1.12,falling
9.1466,1.6142,4.3398,0.07,-1.05,-0.07,falling
9.1226,1.6526,4.3158,0.21,-0.14,-0.49,falling
9.1274,1.619,4.2967,0.21,-1.89,0.7,falling
9.1322,1.5903,4.2991,0.14,-3.57,1.4,falling
9.1921,1.631,4.232,0.49,-1.05,1.19,falling
9.1107,1.6071,4.1458,0.14,-1.19,-0.14,falling
9.2112,1.6023,4.1338,-0.35,-2.8,0.98,falling
9.1969,1.5711,4.0931,0.63,-4.48,1.19,falling
9.2496,1.5999,4.0141,0.28,-2.24,1.19,falling
9.2831,1.5807,4.0164,-0.07,-1.61,0.42,falling
9.1753,1.5544,4.1913,-0.84,-0.77,0.84,falling
9.4316,1.8322,4.1314,-5.81,1.05,-0.07,rising
9.2687,1.5089,3.7123,15.68,2.38,1.82,rising
9.2472,1.516,4.1266,-2.45,12.18,-10.01,rising
9.8675,1.5304,4.5697,0.14,-8.33,3.5,rising
8.4185,1.9687,3.6835,0.84,11.69,1.96,rising
7.5347,1.3005,3.4871,-7.7,2.31,3.99,rising
7.7455,1.2406,3.8296,-7.63,-5.74,-7.07,rising
8.1598,1.4035,3.9949,-4.76,4.55,-4.9,rising
8.4856,1.6358,4.1673,-1.12,2.17,-0.98,rising
9.8172,1.9064,4.5434,-1.12,-5.88,-0.77,rising
9.7645,1.8226,4.6344,-1.33,1.4,-2.38,rising
9.6998,1.8825,4.5625,-2.38,-3.99,0.56,rising
9.2496,1.825,4.426,0.28,-7.98,-0.14,rising
9.6711,1.7603,4.3062,1.33,-6.23,0.49,rising
9.2496,1.8657,4.22,0.28,-3.71,2.17,rising
9.6519,1.8154,4.1937,-0.21,-3.99,2.45,rising
9.616,1.734,4.0739,0.56,-4.06,1.61,rising
9.8819,1.7939,4.0572,-1.12,-3.43,2.1,rising
9.8747,1.7268,4.0117,0.0,-2.38,-0.35,rising
10.0519,1.8034,4.0787,-0.98,-5.46,-0.14,rising
9.9202,1.7891,3.8536,-0.77,-2.45,-1.68,rising
10.0567,1.7172,3.8656,-1.61,5.32,2.45,rising
10.7153,1.9783,4.3398,-0.98,2.87,0.77,rising
11.4985,2.1507,4.6799,-2.38,1.96,0.77,rising
10.4591,1.8801,4.5673,0.0,3.64,-2.31,rising
9.6639,1.6933,4.0093,0.0,4.55,-1.68,rising
9.2879,1.5927,3.9111,2.24,-4.27,1.05,rising
9.2544,1.5639,3.8775,4.9,-1.05,2.45,rising
9.343,1.8657,3.8704,2.24,-0.7,2.8,rising
9.1154,1.6047,3.8129,3.36,7.98,-3.99,rising
8.6173,1.5496,3.6404,0.42,4.97,1.26,rising
7.5683,1.516,3.2405,3.78,-11.76,2.52,rising
7.8509,1.3221,3.1806,7.21,-5.18,5.04,rising
7.6808,1.358,3.0417,10.15,-3.99,4.83,rising
9.5681,1.8873,3.6644,3.85,-2.87,2.8,rising
9.2879,1.6023,3.5518,-1.33,2.8,-3.29,rising
9.3549,1.5687,3.3123,-0.84,-7.63,3.22,rising
9.3262,1.6286,3.5039,0.56,1.19,2.87,falling
9.034,1.4466,3.4991,-2.17,0.98,4.27,falling
7.9706,1.4131,3.195,-6.23,3.29,-1.75,falling
8.0018,1.3221,3.2309,-6.65,7.07,-9.59,falling
7.7766,1.2478,2.9219,-5.95,3.92,-2.8,falling
9.0101,1.5807,3.8129,-5.46,-0.91,1.19,falling
9.3214,1.552,3.8751,-1.26,-2.17,-1.33,falling
9.343,1.5759,3.9087,-1.33,-1.96,-0.49,falling
9.446,1.6669,3.9709,-1.12,-2.03,-0.7,falling
9.6663,1.6262,3.8009,-0.98,-7.42,0.77,falling
9.6783,1.7124,3.9398,0.14,-4.34,0.21,falling
9.9705,1.6741,3.7937,0.49,-2.38,-3.64,falling
10.1214,1.6813,3.8225,0.7,-5.88,1.96,falling
10.0447,1.7005,3.4392,0.56,-7.35,3.15,falling
9.9082,1.6837,3.4943,2.1,-1.05,0.49,falling
9.6064,1.5256,3.3075,-0.07,-1.68,0.49,falling
9.9034,1.5855,3.4009,-1.47,1.96,0.42,falling
10.1549,1.6502,3.4848,-2.8,2.03,-1.26,falling
10.483,1.7508,3.7626,-0.49,2.94,-1.05,falling
11.9511,2.1747,4.2847,-2.59,1.96,2.03,falling
11.4985,2.1244,4.4811,0.35,10.01,-4.06,falling
10.2124,1.8394,3.6979,0.56,3.08,-3.78,falling
9.5561,1.6765,3.4871,-2.73,2.8,1.19,falling
9.3813,1.6047,3.3482,3.43,-0.7,-1.75,falling
9.4316,1.7603,3.662,8.96,11.13,2.03,falling
9.3765,1.9136,3.8488,7.42,-2.94,5.18,falling
8.9334,1.4969,3.5398,10.92,-4.13,2.8,falling
8.9143,1.7364,3.4608,2.87,-3.43,5.74,falling
8.6125,1.4993,3.0608,1.68,-7.07,1.19,falling
4.7158,0.7975,1.7412,3.5,-4.62,-4.41,falling
9.7286,1.9064,3.7793,5.74,8.54,12.95,falling
9.2591,1.6214,3.5542,-0.07,-5.53,-4.13,falling
9.5442,1.4394,3.0105,2.17,-0.42,1.61,falling
9.6184,1.8873,3.2333,-0.14,-6.37,3.99,rising
9.6807,1.7076,3.3458,-3.22,3.22,2.66,rising
9.3909,1.5017,3.1854,-8.61,-0.84,0.7,rising
8.7466,1.358,3.1159,-7.56,-2.03,-0.07,rising
8.8017,1.255,3.1902,-3.22,-0.7,-1.19,rising
8.6604,1.1616,3.3123,-4.62,7.63,-2.52,rising
8.9238,1.4658,3.2021,-1.12,2.73,-2.87,rising
9.4939,1.6023,3.6308,-2.73,-0.35,-5.18,rising
9.1418,1.6358,3.4033,-0.7,6.72,-3.99,rising
9.113,1.4681,3.4632,0.28,-6.86,0.98,rising
9.5753,1.7388,3.6261,-1.61,-8.33,2.73,rising
9.8914,1.6142,3.6141,-0.98,-1.68,-1.61,rising
9.9633,1.734,3.8129,-1.68,4.83,-1.75,rising
9.7789,1.7412,3.6213,-3.5,1.4,-1.12,rising
9.6807,1.5831,3.7554,-1.4,-1.05,-0.63,rising
9.5609,1.5783,3.7674,-0.7,1.05,-0.21,rising
9.5034,1.6957,3.5327,1.4,3.01,-0.63,rising
9.7046,1.7124,3.6955,0.07,-4.41,0.84,rising
9.6807,1.6789,3.6452,-0.77,1.61,-1.4,rising
9.5657,1.7292,3.4752,-0.84,-2.24,-1.05,rising
9.5968,1.7388,3.6476,-0.77,1.68,0.63,rising
9.4244,1.8011,3.6476,-0.35,-3.29,1.54,rising
9.7214,1.8537,3.7147,-0.56,2.17,0.28,rising
9.4819,1.7148,3.4871,-1.4,-0.7,0.7,rising
10.0782,1.8514,3.5542,3.64,0.42,0.84,rising
10.1429,1.8466,3.7698,0.7,0.56,0.28,rising
10.4088,1.9783,4.062,-1.05,-2.17,0.98,rising
10.9069,1.9088,4.153,0.84,2.31,-1.12,rising
10.9812,2.0453,4.0715,-0.84,-1.33,-0.84,rising
10.562,2.0717,4.0452,-0.63,-3.08,2.03,rising
9.7525,1.7723,3.6356,-0.49,1.26,2.17,rising
9.4867,1.5999,3.4512,-0.07,-3.15,2.1,rising
9.9154,1.722,3.5686,2.24,-6.16,5.04,rising
9.6232,1.7436,3.4081,5.18,-0.14,3.36,rising
8.9885,1.5304,3.0081,6.79,-3.78,0.7,rising
8.4951,1.4945,2.7758,9.1,-3.22,-0.7,rising
6.5288,1.0921,2.0813,4.55,2.17,-1.05,rising
7.7958,1.2143,2.577,4.48,4.62,3.43,rising
9.9777,1.7579,3.2932,0.77,-8.61,2.52,rising
9.4795,1.5472,3.0513,0.42,6.16,2.66,rising
9.6519,1.734,2.8285,1.12,-9.24,3.36,rising
9.6711,1.5903,2.9938,-0.35,0.35,-0.14,falling
9.6447,1.5663,2.9962,0.07,-3.22,0.91,falling
9.5897,1.5735,3.1231,-1.26,3.85,0.84,falling
8.5694,1.461,2.7519,-4.34,10.5,-2.59,falling
8.2413,1.4562,2.4525,-3.64,1.54,-5.53,falling
8.8041,1.4418,3.0297,-2.59,-6.02,-3.22,falling
8.8161,1.5807,2.9147,-1.82,7.56,2.03,falling
9.3094,1.7053,3.2453,-1.05,-1.96,-3.78,falling
9.6304,1.722,3.4536,-2.59,6.3,-5.53,falling
9.9633,1.8897,3.4632,-2.24,-1.33,1.12,falling
9.8028,1.8466,3.5231,-2.38,-2.38,1.33,falling
9.7142,1.8394,3.5063,-1.75,6.51,-1.61,falling
9.5825,1.8418,3.5806,-0.63,3.5,-3.64,falling
9.6136,1.8418,3.8009,1.05,3.01,-1.61,falling
9.5034,2.0741,3.5829,0.63,-2.45,-0.42,falling
9.5873,1.9352,3.7075,-0.56,-5.6,0.35,falling
9.822,1.9328,3.5015,-1.12,-0.49,-1.54,falling
9.5944,1.94,3.5183,0.0,-0.77,-0.07,falling
9.9489,2.0118,3.5374,0.56,-3.36,0.91,falling
10.0567,1.9615,3.5662,-0.14,-0.91,2.17,falling
9.6711,1.8777,3.5159,0.07,-0.98,0.98,falling
9.5537,1.7412,3.5949,-1.47,-0.63,-0.42,falling
10.3345,2.0214,3.6524,1.82,-2.52,0.28,falling
10.9716,2.0837,3.7674,-2.8,5.88,-1.33,falling
11.1464,2.328,3.9518,-0.42,2.03,-0.98,falling
10.5956,2.11,3.856,-1.26,-1.68,0.7,falling
9.8651,1.9112,3.3937,2.1,-3.85,3.64,falling
9.8747,1.8585,3.5686,1.61,-3.64,3.85,falling
10.1285,1.9112,3.3674,1.12,-7.0,4.48,falling
9.3717,1.5807,2.9674,2.52,-4.69,4.97,falling
8.8759,1.5639,2.9315,3.01,-7.21,2.1,falling
8.3323,1.3939,2.3998,2.45,-5.53,0.98,falling
5.9181,0.97,1.734,3.15,2.17,-2.45,falling
9.9657,1.7124,2.9602,3.08,9.17,7.63,falling
9.501,1.6262,2.989,0.49,5.6,0.0,falling
9.5418,1.6861,2.8549,0.42,0.63,0.07,falling
9.5897,1.6047,3.159,1.12,-7.63,1.54,rising
9.6208,1.6693,3.0034,-1.61,0.35,-0.07,rising
9.4603,1.5807,2.989,-2.1,3.15,0.28,rising
8.9023,1.5113,2.9435,-3.99,5.74,-1.89,rising
8.9262,1.5184,2.8189,-5.11,4.34,-5.53,rising
8.2676,1.4442,3.0656,-1.33,6.16,-3.71,rising
8.1359,1.4705,2.8285,-1.82,0.28,-1.19,rising
9.0364,1.7819,3.1974,-3.5,-1.19,-1.19,rising
9.2208,1.7867,3.4967,-4.9,5.88,-2.03,rising
9.4579,1.8585,4.1865,-12.67,16.52,-3.43,rising
9.4364,1.6717,4.3901,-5.6,15.89,-4.06,rising
9.3765,1.9088,4.6511,-8.96,1.05,1.96,rising
9.331,1.6741,4.3925,-3.08,-5.74,-1.12,rising
9.6519,1.7699,4.5529,-0.98,3.85,1.82,rising
9.4196,1.7579,4.2847,0.35,0.7,0.28,rising
9.3358,1.6334,4.2176,-0.28,1.33,-0.91,rising
9.343,1.6837,4.3949,-0.98,-4.13,-0.56,rising
9.446,1.9759,4.4955,-3.43,2.45,-6.51,rising
9.2903,1.7651,4.6439,-13.51,-1.82,-2.66,rising
9.1418,2.122,4.3877,-7.42,-7.98,1.75,rising
9.1993,2.1268,4.8691,-12.39,-4.69,0.49,rising
10.0687,0.2563,4.3015,-23.24,9.52,20.37,rising
9.719,0.7544,5.293,4.55,7.07,21.49,rising
10.9644,0.8383,4.8787,51.73,10.85,-3.92,rising
9.6184,0.9891,4.8427,24.01,-13.37,-14.84,rising
10.2052,1.1424,5.1277,-4.2,-8.61,-5.04,rising
9.8268,1.5496,4.6392,0.14,-7.07,3.01,rising
9.628,1.4131,4.4188,1.12,-8.05,0.91,rising
9.7046,0.7688,4.5002,27.09,-1.19,4.13,rising
9.1945,1.4466,3.9087,11.34,-4.06,5.74,rising
8.4592,1.3029,3.9733,22.54,2.59,5.53,rising
8.1215,1.2813,3.5063,29.4,18.83,6.65,rising
5.7648,1.1376,1.6238,11.97,6.51,-1.75,rising
9.446,1.7915,4.3853,-7.56,-1.68,9.45,rising
9.058,1.2622,4.9745,-7.07,0.63,2.38,rising
8.8664,1.4753,3.9494,-1.19,-0.42,2.8,rising
9.7717,1.7915,3.4584,-21.0,-31.08,-1.47,falling
9.5154,1.3316,4.3901,-13.93,-9.1,-1.89,falling
9.4795,1.3436,3.8656,0.42,5.11,-0.49,falling
9.2951,1.4514,3.7889,5.95,11.69,0.49,falling
9.2544,1.3771,3.5614,-9.87,-8.89,1.4,falling
9.2472,1.4753,3.4081,-2.38,-10.5,2.73,falling
8.6987,1.2406,3.0728,-10.57,-8.82,-2.59,falling
7.997,1.1209,2.7399,-5.25,-3.01,-3.92,falling
8.1239,1.267,2.862,-3.01,6.44,-3.5,falling
9.2975,1.2358,3.377,-1.89,6.93,-1.68,falling
9.5489,1.3939,3.8105,-4.41,3.01,-5.11,falling
9.5442,1.4681,3.8991,-3.92,4.62,-2.66,falling
9.8004,1.5544,4.0428,-4.55,6.37,-1.19,falling
9.7286,1.5137,4.0931,-3.01,1.26,-2.03,falling
9.707,1.6023,4.0643,-0.28,4.13,-0.35,falling
9.5705,1.6478,4.1027,0.77,3.43,-3.15,falling
9.8747,1.6334,4.4643,-2.17,-1.05,-2.8,falling
9.7501,1.6238,4.3949,0.49,3.92,-2.03,falling
9.9992,1.8154,4.5745,0.0,-0.7,1.05,falling
10.0136,1.7244,4.3781,1.47,2.52,2.03,falling
9.2999,1.7292,4.2416,0.7,-5.53,3.22,falling
9.9369,1.8705,4.1889,-0.98,-9.87,3.5,falling
13.4361,2.1603,5.7361,-5.04,-16.1,1.82,falling
11.2734,1.6047,4.4428,2.17,5.25,1.4,falling
10.0279,1.5951,3.9206,2.17,-5.04,-1.82,falling
9.9848,1.5496,3.9015,-0.42,-5.88,4.27,falling
9.786,1.4466,3.5255,2.8,-0.21,3.36,falling
9.2663,1.425,3.2884,3.57,-5.95,2.45,falling
8.5335,1.1903,3.0872,1.61,-5.32,3.29,falling
5.7504,0.7904,2.1459,4.2,-6.79,-1.12,falling
6.5408,0.4383,2.11,8.26,15.12,-2.17,falling
9.9968,1.722,3.5303,1.4,1.61,3.64,falling
9.525,1.3676,3.3602,-1.26,-9.17,-1.26,falling
9.525,1.4011,3.3842,1.82,-7.21,4.06,falling
9.7238,1.3316,3.1303,0.21,-1.82,1.75,rising
9.6328,1.4083,3.1399,-0.84,0.0,-0.07,rising
9.6423,1.3268,3.1902,-1.4,2.94,0.35,rising
8.8592,1.2239,3.0345,0.49,-0.56,5.18,rising
8.349,1.2047,2.9028,-4.13,4.97,-1.82,rising
7.5204,1.0131,2.5052,-6.86,-3.71,-11.55,rising
7.8006,1.0514,2.8333,-3.29,6.93,-0.98,rising
8.6053,1.4322,3.001,-1.54,1.68,-1.19,rising
10.0639,1.5352,3.8584,-3.36,4.9,-4.41,rising
10.3752,1.6717,3.9518,-3.71,4.76,-4.13,rising
9.992,1.655,3.9111,-2.31,-1.19,-1.82,rising
10.0782,1.6957,3.8488,-0.98,-2.24,2.59,rising
9.992,1.7076,3.9111,-1.05,-3.15,0.14,rising
9.913,1.5544,3.7338,0.77,0.91,-1.4,rising
9.3621,1.5592,3.5949,0.0,2.59,-2.59,rising
9.7405,1.6023,3.8584,-0.77,5.25,-3.29,rising
10.1453,1.631,3.9111,1.19,-10.78,3.99,rising
10.792,1.8897,4.1434,2.03,-7.98,2.73,rising
9.8675,1.655,3.4824,-1.33,4.41,0.63,rising
8.9214,1.425,3.4273,-4.69,3.15,-3.36,rising
9.4747,1.4394,3.5829,-0.84,-0.7,0.21,rising
10.2435,1.6933,3.9206,-0.91,-1.61,3.36,rising
11.247,1.655,4.4308,-0.98,2.73,-2.1,rising
11.3739,2.0406,4.3039,-1.96,8.68,-1.33,rising
10.689,1.7651,4.6559,-1.89,7.63,-3.99,rising
9.8531,1.449,3.9183,-0.77,6.79,-0.49,rising
9.4316,1.5352,4.2655,-0.63,-6.58,6.02,rising
10.186,1.6502,4.0955,4.13,-4.48,2.94,rising
9.9274,1.6095,3.935,4.76,-8.26,5.46,rising
9.2232,1.4226,3.4057,7.77,-12.6,2.94,rising
4.7709,0.6347,1.5304,5.46,-11.62,0.56,rising
5.3768,0.7257,2.2417,1.54,-0.14,0.42,rising
11.1776,2.0334,3.8488,2.59,27.58,7.7,rising
9.0077,1.1712,3.2692,1.12,-6.37,3.99,rising
9.6615,1.7508,3.4895,1.19,-7.56,5.18,rising
9.5873,1.1831,3.1686,-1.68,-5.46,-0.35,falling
9.2472,1.2454,3.2261,-3.92,-2.31,1.61,falling
9.0939,1.2358,2.9147,-1.19,2.45,0.98,falling
8.5095,1.0682,2.8046,-2.94,-7.35,-2.52,falling
7.6473,0.9963,2.68,-3.01,9.1,-8.68,falling
7.8149,1.0754,2.6561,-3.43,5.81,-6.16,falling
9.3741,1.4658,3.547,-1.96,6.02,-7.28,falling
9.5298,1.528,3.6285,-3.43,4.13,-4.27,falling
9.7884,1.619,3.7338,-2.38,-4.55,0.77,falling
9.8292,1.6813,3.8105,-0.21,-13.09,1.19,falling
10.2651,1.5831,3.7865,-0.98,3.43,-0.28,falling
9.9824,1.5903,3.5303,-0.91,-1.68,0.14,falling
10.0471,1.6717,3.5518,0.0,-3.15,0.0,falling
10.083,1.6334,3.4416,0.21,2.52,-2.31,falling
9.6208,1.6047,3.5015,-1.47,2.73,-1.61,falling
10.1812,1.5639,3.6476,0.28,0.21,-0.77,falling
10.9117,1.7124,3.8704,-0.21,-2.59,0.63,falling
9.5561,1.3915,3.8392,-0.91,-7.21,0.84,falling
9.41,1.4394,3.3722,-3.01,3.08,-1.61,falling
9.6735,1.6214,3.4081,-0.63,2.1,0.63,falling
11.1129,1.7915,3.8201,0.56,-3.99,2.17,falling
11.3644,1.9112,3.8512,-1.19,4.62,-0.77,falling
10.9428,1.7795,3.729,1.12,5.39,-3.43,falling
