Time;Ax;Ay;Az;Gx;Gy;Gz;BAR;P;R;Mag;UP;DOWN
0;9.22379;3.05962;0.12397;0.51117;-2.25067;0.7019;992.16357;-18.34967;89.23;0.98724;0;0
1;9.17947;2.79313;-0.25272;-0.95367;1.96075;5.27954;992.16168;-16.91789;88.42297;0.97367;0;0
2;8.44765;2.4877;-0.44915;-6.32476;11.17705;6.62231;992.16187;-16.38699;86.95651;0.94906;0;0
3;6.54864;1.69121;-0.1072;-0.95367;34.24833;3.13568;992.15485;-14.47858;89.06219;0.98415;0;0
4;5.08021;0.88573;0.85938;7.22503;32.60037;-7.54546;992.15295;-9.75418;80.39864;0.83562;0;0
5;6.19291;1.94752;1.40615;-6.69097;29.97587;0.02289;992.17377;-17.04922;77.20747;0.78831;0;0
6;9.09563;2.62904;2.45357;-9.25445;23.56718;14.42717;992.21478;-15.59276;74.90365;0.74914;0;0
7;10.85511;2.66377;3.88127;-5.77545;40.22976;7.59124;992.2052;-13.01083;70.32535;0.67196;0;0
8;10.60419;2.82068;4.27473;-12.00103;27.65653;-2.72369;992.18567;-13.85844;68.04478;0.637;0;0
9;10.13826;2.9129;4.89815;-3.0899;8.3084;-2.47955;992.19586;-14.50476;64.21317;0.57884;0;0
10;10.07538;2.81648;4.46817;-3.45611;6.41632;-0.70953;992.20648;-14.33459;66.08398;0.60722;0;0
11;9.86877;2.75839;5.18861;-15.66313;6.66046;-7.05718;992.19928;-13.89583;62.2664;0.54826;0;0
12;9.65917;2.5949;4.83168;33.34805;3.24249;0.5722;992.25854;-13.51003;63.425;0.56501;0;1
13;8.6351;2.50747;4.32144;8.20159;-3.41034;-0.8316;992.25409;-14.55692;63.41429;0.56683;0;0
14;8.85249;2.42961;4.21125;6.73675;12.76397;-5.1651;992.22815;-13.91975;64.55893;0.58303;0;0
15;10.5413;3.58663;5.08021;-1.01471;4.40216;-1.25885;992.2135;-17.0407;64.269;0.58491;0;0
16;11.90673;3.71;5.6156;-13.46587;3.66974;1.12152;992.2392;-15.73877;64.74991;0.58942;0;0
17;11.45039;3.82079;5.98151;5.0888;4.21905;-7.78961;992.23413;-16.47606;62.41811;0.556;0;0
18;10.11251;3.61717;5.43893;1.24359;-3.41034;-6.14166;992.229;-17.48544;61.72677;0.54821;0;0
19;9.29506;3.42074;4.91432;2.89154;-19.70671;-2.78473;992.20416;-18.02203;62.13446;0.55553;0;0
20;8.83932;2.99495;4.23042;5.21087;-24.95573;0.75531;992.19861;-16.99435;64.42465;0.58715;0;0
21;8.01228;2.4919;3.8699;3.25775;-23.79606;-6.32476;992.16254;-15.64514;64.21965;0.58119;0;0
22;6.36239;2.04035;2.93266;13.81682;-29.47232;-12.00103;992.18842;-16.23763;65.25325;0.59809;0;0
23;5.72759;1.98765;1.45765;11.31438;-30.44889;-13.3438;992.1604;-18.58832;75.72157;0.76623;0;0
24;5.65812;2.10802;1.30194;19.49309;-25.32194;-6.26373;992.16254;-19.95483;77.04171;0.78922;0;0
25;8.29434;2.76738;1.50496;6.91986;-20.74431;-8.27789;992.16211;-18.17429;79.71591;0.83038;0;0
26;8.69319;2.83505;0.51563;16.92961;-8.11004;2.15912;992.25708;-18.0327;86.60555;0.9437;1;0
27;8.99203;3.58603;0.83722;-4.79888;-4.20379;-3.70025;992.1181;-21.65723;84.6807;0.91384;0;0
28;8.80099;3.98727;0.29225;-0.95367;-0.41962;-5.83648;992.13831;-24.36096;88.09811;0.96977;0;0
29;8.9549;3.93457;0.21739;2.89154;-2.06756;-5.22613;992.15021;-23.71335;88.60935;0.97778;0;0
30;8.93094;4.17412;-0.28806;-14.68657;-1.76239;-0.70953;992.13489;-25.03891;88.15263;0.97079;0;0
31;7.78471;3.61298;0.02635;-4.49371;0.06866;8.81194;992.16528;-24.89648;89.80606;0.99693;0;0
32;6.1971;2.50148;0.10241;-7.97271;13.00811;9.84954;992.1825;-21.9789;89.05328;0.98468;0;0
33;4.9251;1.77325;1.27739;-4.85992;33.33279;9.97161;992.1897;-19.21408;75.45998;0.76293;0;0
34;5.30179;1.44687;1.54928;-8.94927;30.95243;4.47845;992.17529;-14.67865;73.71072;0.72867;0;0
35;8.02785;2.85242;2.1182;-17.55522;44.50222;13.75579;992.17273;-18.96053;75.21899;0.75872;0;0
36;10.37063;3.72317;3.85253;-32.814;48.65261;4.29535;992.21375;-18.60016;69.62074;0.66996;0;0
37;10.4916;3.50997;5.86832;-9.07134;25.3372;5.21087;992.24072;-16.27678;60.78017;0.5314;0;0
38;10.17779;3.37703;5.93839;-10.29204;8.00323;1.24359;992.22693;-15.99168;59.73791;0.51555;0;0
39;10.12569;3.11831;5.59165;-0.52643;11.42119;-11.69585;992.23669;-15.08749;61.09147;0.53325;0;0
40;9.06868;3.35786;8.03923;-19.63042;13.06914;-7.91168;992.24878;-15.48668;48.44358;0.36073;0;0
41;9.88434;3.30277;5.60302;34.01944;5.13458;8.3847;992.22968;-16.20842;60.4529;0.52646;0;1
42;10.43051;3.43452;6.03421;-17.12798;12.58086;-4.73785;992.26984;-15.90848;59.94996;0.51842;0;0
43;9.81308;3.9196;6.46659;20.22551;-10.91765;-2.05231;992.28937;-18.44466;56.61603;0.47802;0;0
44;10.66707;4.13819;6.14261;8.14056;-29.10612;7.77435;992.24561;-18.58188;60.06461;0.52699;0;0
45;10.91739;3.89684;5.30958;15.28166;-15.55632;6.06536;992.24731;-17.79614;64.06444;0.58357;0;0
46;10.55867;3.7603;5.25089;10.39886;-13.29802;6.06536;992.28638;-17.68639;63.55857;0.57576;0;0
47;10.93895;3.604;4.95804;3.50189;-26.48161;5.02777;992.23669;-16.70346;65.61776;0.6046;0;0
48;10.20654;3.21234;4.4478;17.47893;-49.06459;-2.54059;992.24072;-16.09428;66.45338;0.61616;0;0
49;7.05109;2.41344;2.13856;25.53556;-65.05579;1.6098;992.19373;-18.13599;73.12769;0.72418;0;0
50;5.56709;1.4307;0.2647;8.32366;-50.95668;-1.38092;992.1264;-14.39709;87.27779;0.954;0;0
51;5.07841;1.30613;0.13295;11.25335;-32.2189;-7.91168;992.16125;-14.41876;88.50038;0.97465;0;0
52;5.3497;1.95711;-0.48868;9.48333;-19.95085;-8.27789;992.14252;-20.01758;84.7807;0.91453;0;0
53;7.66433;2.99914;-2.47513;2.58636;-12.80974;0.02289;992.14124;-20.42407;72.1026;0.71201;0;0
54;8.75847;3.35307;-0.98275;16.50237;-3.47137;4.96673;992.18164;-20.82933;83.5979;0.89578;0;0
55;9.30943;3.50758;-1.31512;-10.0479;-3.04413;1.18256;992.10638;-20.45918;81.95918;0.86894;1;0
56;9.00401;3.45368;-1.35884;-2.96783;4.21905;2.03705;992.11664;-20.77058;81.41799;0.86047;0;0
57;9.01598;3.19497;-1.36303;-5.10406;-1.76239;1.5564;992.15656;-19.30974;81.40318;0.85893;0;0
58;9.56994;3.60699;-1.83673;-12.00103;-5.30242;-0.7019;992.14575;-20.31218;79.13549;0.82323;0;0
59;8.75308;3.34948;-1.378;1.4267;-7.98797;-1.80054;992.19861;-20.70695;81.05334;0.85453;0;0
60;4.62627;1.72235;-1.53909;-13.09966;5.80596;7.11059;992.17188;-19.45634;71.59843;0.70235;0;0
61;3.59022;0.88812;-0.52461;3.19671;39.74148;15.83861;992.18481;-13.75406;81.68668;0.85956;0;0
62;5.11794;1.28458;0.65696;-24.75736;57.86891;10.52856;992.15485;-13.97971;82.68528;0.87645;0;0
63;8.22787;2.5943;1.905;-11.75689;60.73756;18.21898;992.20605;-17.07596;76.96397;0.78438;0;0
64;11.42823;2.93686;3.21713;-26.22221;60.92066;7.59887;992.21582;-13.89423;74.27771;0.73695;0;0
65;11.71928;2.98776;4.94127;-9.8648;26.19169;3.87573;992.20245;-13.22002;67.13795;0.62178;0;0
66;11.19707;2.58113;4.91432;-13.46587;18.86748;-0.09155;992.25391;-11.91919;66.30362;0.60677;0;0
67;11.55579;2.7542;5.22574;0.93841;21.61406;-11.9934;992.21246;-12.25247;65.66666;0.59734;0;0
68;10.82397;2.88775;5.53715;-4.92096;6.47735;-8.45336;992.24219;-13.36116;62.90737;0.5569;0;0
69;10.62095;3.20395;5.05805;-75.53857;65.74243;2.47192;992.23431;-15.23529;64.53465;0.58515;0;0
70;9.46394;2.31643;6.57858;40.18399;-8.65936;-0.45776;992.27448;-11.36378;55.19602;0.44042;0;0
71;8.24344;2.52723;3.94296;-10.16997;-3.65448;-10.04027;992.24579;-15.45963;64.43753;0.58412;0;1
72;7.41401;2.55538;4.30468;18.39445;-2.43377;-8.57543;992.19861;-16.59773;59.85995;0.51881;0;0
73;10.03706;3.51357;4.41666;2.6474;-10.67351;-7.72094;992.2605;-17.76601;66.24879;0.61644;0;0
74;12.38702;3.99147;5.49822;13.02337;7.45391;-2.59399;992.27026;-16.41077;66.06502;0.61083;0;0
75;12.43553;4.92091;6.01505;5.45501;6.23321;-8.14819;992.28766;-19.60741;64.18702;0.58981;0;0
76;10.45866;4.38852;5.47487;10.8261;-19.46257;6.07299;992.27173;-20.39267;62.36898;0.56529;0;0
77;9.66576;3.4968;4.65382;9.54436;-27.45817;3.14331;992.24792;-18.05379;64.29037;0.58755;0;0
