Time;Ax;Ay;Az;Gx;Gy;Gz;BAR;P;R;Mag;UP;DOWN
0;9.22918;2.0158;2.29008;-0.5722;3.08227;0.11444;992.25366;-11.96877;76.0644;0.7644;0;0
1;8.95969;2.20624;2.2266;5.77545;9.61303;6.27899;992.25604;-13.44;76.04398;0.76543;0;0
2;7.49905;1.34746;1.71636;-0.5722;23.59007;7.19451;992.25092;-9.93484;77.10835;0.78024;0;0
3;6.30131;1.26302;1.39237;2.60162;19.19554;-7.45391;992.23309;-11.07373;77.53982;0.78826;0;0
4;6.13901;1.37321;2.35655;-5.39398;9.7351;2.55585;992.26343;-11.79547;68.99995;0.6492;0;0
5;7.83801;1.49717;4.10705;1.50299;-4.66919;17.14324;992.27386;-9.60316;62.34584;0.54237;0;0
6;9.431;1.24505;4.0795;-8.5678;20.1721;4.26483;992.26874;-6.90866;66.60848;0.60587;0;0
7;10.18019;1.56545;4.68795;-12.41301;19.86693;7.19451;992.28876;-7.95139;65.27404;0.58574;0;0
8;10.48621;1.45585;5.3006;-18.75304;15.96831;7.79723;992.28149;-7.06322;63.1842;0.5523;0;0
9;10.2263;1.03904;5.45271;-10.02502;8.94927;1.20544;992.29169;-5.1232;61.93326;0.53138;0;0
10;9.34476;-0.42759;6.22525;-17.71544;-3.13568;-4.47082;992.30957;2.18083;56.32943;0.44598;0;0
11;9.60228;1.30254;5.52757;-4.71496;7.66754;-13.74816;992.35779;-6.70503;60.07304;0.50452;0;0
12;10.39159;1.54149;6.27556;-6.48498;-0.02289;-10.26916;992.31445;-7.23676;58.87191;0.48717;0;0
13;9.45735;1.42471;5.91504;-5.20324;-5.27191;-4.59289;992.32489;-7.27853;57.97636;0.474;0;0
14;8.57462;1.32949;5.38623;-5.44738;-3.99017;-8.255;992.29169;-7.47986;57.86459;0.4726;0;0
15;9.91968;1.56844;5.69345;-9.23156;-11.8637;-1.23596;992.30402;-7.80838;60.14609;0.50683;0;0
16;11.02938;2.56316;5.7767;-18.99718;-9.17815;-10.26916;992.29425;-11.63277;62.35646;0.54556;0;0
17;9.82685;1.77685;5.09638;-2.5177;-2.34222;-10.57433;992.28619;-9.11894;62.58794;0.54543;0;0
18;9.36932;2.04155;4.38612;-11.55089;-5.33294;-3.06701;992.27069;-11.1635;64.91397;0.58404;0;0
