Time;Ax;Ay;Az;Gx;Gy;Gz;BAR;P;R;UP;DOWN;prob
0;9.40285;3.50631;0.66582;0.42;2.31;0.77;992.18628;0;0;0;0;
1;9.66151;3.35542;0.85502;0.91;1.89;1.82;992.16919;0;0;0;0;
2;9.64474;3.44404;0.64666;1.54;1.75;-0.98;992.18774;0;0;0;0;
3;9.49625;3.33626;0.91729;-0.28;1.82;-0.49;992.18286;0;0;0;0;
4;9.55373;3.47278;0.8646;-0.35;-0.35;0.42;992.18408;0;0;0;0;
5;9.60882;3.42727;0.88616;-0.42;1.19;-0.42;992.22827;0;0;0;0;
6;9.54894;3.45122;0.90771;1.05;-1.12;-0.07;992.23291;0;0;0;0;
7;9.50344;3.44164;0.87897;0.63;0.42;-0.84;992.2207;0;0;0;0;
8;9.55134;3.42727;0.867;-1.33;-2.52;1.82;992.23706;0;0;0;0;
9;9.55134;3.33147;0.8191;-1.68;-0.07;-0.84;992.24585;0;0;0;0;
10;9.57289;3.48954;0.87179;-0.28;0.56;-0.35;992.26782;0;0;0;0;
11;9.59684;3.51589;0.92448;2.59;0.49;-0.77;992.27051;0;0;0;0;
12;9.54894;3.30034;0.81431;-0.7;-0.63;-0.21;992.26489;0;0;0;0;
13;9.49865;3.5566;1.00112;0.49;2.38;-0.21;992.28613;0;0;0;0;
14;9.6639;3.44164;0.93406;1.12;0.28;0.21;992.28174;0;0;0;0;
15;9.41722;3.68115;0.68977;-2.45;-0.84;-1.05;992.30225;0;0;1;0;
16;9.50104;3.64522;0.92927;1.4;1.05;-1.75;992.29785;0;0;1;0;
17;9.63037;3.53265;0.79515;-1.33;-0.14;-1.19;992.29663;0;0;1;0;
18;9.60403;3.53026;0.75683;-0.49;0.42;-4.2;992.2937;0;0;1;0;
19;9.24717;3.59013;0.4335;-0.98;4.48;-1.26;992.28931;0;0;1;0;
20;8.80888;3.20933;0.05748;-0.98;17.77999;0.77;992.29419;0;0;1;0;
21;6.71084;2.2585;0.16286;-15.95999;9.03;-2.1;992.2854;0;0;1;0;
22;6.00192;2.32077;1.05141;-22.25999;25.12999;-15.95999;992.30078;0;0;1;0;
23;6.7348;3.42488;2.08367;-18.61999;34.29999;-14.83999;992.2854;0;0;1;0;
24;8.08319;3.51589;2.72553;-24.07999;30.02999;-5.25;992.30273;0;0;1;0;
25;9.06275;4.38768;4.14099;-21.62999;28.27999;2.52;992.3147;0;0;1;0;
26;10.23152;4.17691;5.23072;-37.30999;22.81999;16.93999;992.33569;0;0;1;0;
27;9.84353;3.4632;6.61025;-9.17;10.92;-4.76;992.37598;0;0;1;0;
28;9.22801;3.70989;5.92288;-5.88;1.47;0.7;992.37573;0;0;1;0;
29;8.86157;3.1734;6.10251;-7.42;19.94999;19.17999;992.35352;0;0;1;0;
30;10.63389;3.16861;5.82948;-11.34;10.92;20.78999;992.33569;0;0;1;0;
31;10.16207;2.5962;6.01389;-7.56;-11.83;6.23;992.3689;0;0;1;0;
32;9.01725;2.71595;5.12295;0.28;-7.0;-4.62;992.35693;0;0;1;0;
33;9.10586;2.84528;5.60195;-2.8;-3.22;4.13;992.35205;0;0;0;1;
34;9.79084;2.99138;5.9636;-0.28;-3.64;8.75;992.34595;0;0;0;1;
35;10.36804;2.96982;6.3468;9.45;-8.89;7.21;992.35669;0;0;0;1;
36;9.67588;3.06563;5.94204;18.82999;-15.53999;5.04;992.37109;0;0;0;1;
37;9.46991;2.18905;4.66789;19.31999;-20.92999;9.38;992.37817;0;0;0;1;
38;9.69743;2.55549;4.0859;14.90999;-6.93;6.51;992.3916;0;0;0;1;
39;9.10586;2.60818;3.73384;4.97;2.52;6.23;992.38208;0;0;0;1;
